notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
中国国家博物馆2026年馆藏文物三维数据采集项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296486.htm,2026-09-09 16:13,北京,中国国家博物馆,成交公告,成交公告
国家税务总局无极县税务局（中昌路办公区）综合业务办公用房维修改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296423.htm,2026-09-09 16:10,河北,国家税务总局无极县税务局,成交公告,成交公告
中华人民共和国皇岗出入境边防检查站智能验讫章柜采购项目（二次）成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296427.htm,2026-09-09 16:10,广东,中华人民共和国皇岗出入境边防检查站,成交公告,成交公告
天津出入境边防检查总站轮训大队营区生活区及附属设施升级改造工程成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296305.htm,2026-09-09 16:05,天津,中华人民共和国天津出入境边防检查总站,成交公告,成交公告
云南省地震局绿化补绿提质改造施工总承包项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296148.htm,2026-09-09 15:56,云南,云南省地震局,成交公告,成交公告
中国人民银行云南省分行公有周转房维修改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296091.htm,2026-09-09 15:54,云南,中国人民银行云南省分行,成交公告,成交公告
国家统计局湖南调查总队2026年信息化安全服务项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295867.htm,2026-09-09 15:45,湖南,国家统计局湖南调查总队,成交公告,成交公告
中国人民银行南充市分行2026-2027年度机关食堂原材料供应服务采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295865.htm,2026-09-09 15:44,四川,中国人民银行南充市分行,成交公告,成交公告
湖北某单位2026年职工体检服务采购项目成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295792.htm,2026-09-09 15:40,湖北,SPD-17,成交结果公告,成交公告
宁夏回族自治区消防救援总队全区消防信息网适配改造项目第一标段成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295636.htm,2026-09-09 15:33,宁夏,宁夏自治区消防救援总队,成交结果公告,成交公告
中国科学院大气物理研究所地球系统数值模拟装置UPS后备电池采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295632.htm,2026-09-09 15:32,北京,中国科学院大气物理研究所,成交公告,成交公告
襄阳市襄城区消防救援大队食堂主副食品配送服务采购成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295579.htm,2026-09-09 15:31,湖北,襄阳市襄城区消防救援大队,成交公告,成交公告
