notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
中国国家博物馆2026年馆藏文物三维数据采集项目成交公告,成交公告,,2026年09月09日 16:13,北京市,中国国家博物馆,北京市东城区天安门广场东侧,胡老师 010-65119112,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦,赵曰贤、张百娇、张 洁 010-61954124、62108084、62108070,"磋商文件-2026年馆藏文物三维数据采集.pdf,中小企业声明函.pdf","[{""attach_name"": ""磋商文件-2026年馆藏文物三维数据采集.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=A308276DFC4D56A157C6A2C4BBA80B""}, {""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=BA4BBE8C5840EB59E93F1C4C108E9D""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296486.htm,2026-09-09 16:23:48,,,,,,136.0,磋商小组成员名单：吴昊（组长）、王昕、李洋（采购人代表）,1.788,北京雅昌艺术数据有限公司成交供应商名称：北京雅昌艺术数据有限公司,,,,,,
国家税务总局无极县税务局（中昌路办公区）综合业务办公用房维修改造项目成交公告,成交公告,,2026年09月09日 16:10,无极县,国家税务总局无极县税务局,河北省石家庄市无极县建设西路,刘士超0311-85588553,河北博鸿工程项目管理有限公司,河北省石家庄市桥西区槐安西路35号瑞特家园11号楼802,谢靖0311-85291060,"国家税务总局无极县税务局（中昌路办公区）综合业务办公用房维修改造项目磋商文件.pdf,中小企业声明函.png","[{""attach_name"": ""国家税务总局无极县税务局（中昌路办公区）综合业务办公用房维修改造项目磋商文件.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=640D2BB0CBBD806450A7B39E5E3B1F""}, {""attach_name"": ""中小企业声明函.png"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6CB03BE36C9D1513BDC449819AA0BA""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296423.htm,2026-09-09 16:23:48,,,,,,290.1666,张亚丽、李志强（组长）、张晓楠 （采购人代表）,2.098,河北金湖建设集团有限公司,,,,,,
中华人民共和国皇岗出入境边防检查站智能验讫章柜采购项目（二次）成交公告,成交公告,,2026年09月09日 16:10,深圳市,中华人民共和国皇岗出入境边防检查站,深圳市罗湖区人民南路1006号,苏警官0755-84498653,深圳龙达招标有限公司,深圳市福田区沙头街道新华社区新洲十一街139号中央西谷大厦1806,张志辉0755-83864290-820,"（竞争性谈判文件）中华人民共和国皇岗出入境边防检查站智能验讫章柜采购项目（二次） 发售稿20260901.doc,中小企业声明函.pdf","[{""attach_name"": ""（竞争性谈判文件）中华人民共和国皇岗出入境边防检查站智能验讫章柜采购项目（二次） 发售稿20260901.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=9DAB300DBA2E9FDA04C01F85F48A3B""}, {""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=77F4C04F6923B7891CCE64E5F6030B""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296427.htm,2026-09-09 16:23:48,,,,,,142.182,任晓兵、朱江、廖肇刚。,1.469965,北京文哲科技有限公司,,,,,,
天津出入境边防检查总站轮训大队营区生活区及附属设施升级改造工程成交公告,成交公告,,2026年09月09日 16:05,天津市,中华人民共和国天津出入境边防检查总站,天津市东丽区卫国道216号,唐警官022-24739099,天津渤化化工进出口有限责任公司,天津市和平区辽宁路187号,杨旭022-58980908,"终稿-轮训大队营区生活区及附属设施升级改造工程-磋商文件.pdf,专家意见表.pdf,中小企业声明函.pdf","[{""attach_name"": ""终稿-轮训大队营区生活区及附属设施升级改造工程-磋商文件.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=821CC95F1CF8A34039DC84D947DB39""}, {""attach_name"": ""专家意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=FEA19C14E4969A7F8132ED998E9060""}, {""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=60AB81729DB5CA6B6FB8BEE20A4EAB""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296305.htm,2026-09-09 16:23:48,,,,,,200.336,孟莹、焦雷、高航,0.936294,莱克建设集团有限公司,,,,,,
云南省地震局绿化补绿提质改造施工总承包项目成交公告,成交公告,,2026年09月09日 15:56,昆明市,云南省地震局,昆明市盘龙区北辰大道148号,李老师（0871-65747138）,昆明晨晟招标有限责任公司,昆明市世博路16号世博生态城低碳中心B座1单元12层,浦艺晴（13759529693）、李俊（15911723151）、胡兴松、陈红、胡琛、张昊然,云南省地震局绿化补绿提质改造施工总承包项目-竞争性磋商文件（定稿）9.7开标.doc,"[{""attach_name"": ""云南省地震局绿化补绿提质改造施工总承包项目-竞争性磋商文件（定稿）9.7开标.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=58B53A20E78DAEFE79A64CA03BFB78""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296148.htm,2026-09-09 16:23:48,,,,,,34.846,项玉红、罗婷婷、王林建（采购人代表）,0.278896,云南惠轩建筑工程有限公司,,,,,,
中国人民银行云南省分行公有周转房维修改造项目成交公告,成交公告,,2026年09月09日 15:54,昆明市,中国人民银行云南省分行,云南省昆明市正义路69号,朱老师0871-63212058,云南中咨海外咨询有限公司,云南省昆明市滇池度假区中天融域小区17幢1单元4楼,孔明慧、卓超、龙月、解亚洲、李林宁、周橼杰、李杰 0871-68103717,"08.19中国人民银行云南省分行公有周转房维修改造项目-竞争性磋商文件-定稿.pdf,（成交公告）中国人民银行云南省分行公有周转房维修改造项目.pdf","[{""attach_name"": ""08.19中国人民银行云南省分行公有周转房维修改造项目-竞争性磋商文件-定稿.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=F54640C70ACFF4F67C650F286B451B""}, {""attach_name"": ""（成交公告）中国人民银行云南省分行公有周转房维修改造项目.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=B1356D999423A6DD5B97633075BAF9""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27296091.htm,2026-09-09 16:23:49,,,,,,78.315829,耿华、侯庆桃、刘春林（采购人代表）,0.548211,云南中九项目管理有限公司,,,,,,
国家统计局湖南调查总队2026年信息化安全服务项目成交公告,成交公告,,2026年09月09日 15:45,长沙市,国家统计局湖南调查总队,湖南省长沙市芙蓉中路二段新世纪花苑华侨国际大厦15楼,彭先生18627581682,中航招采科技（北京）有限公司,长沙市芙蓉区蓉园路6号湖南省老干部大学金秋楼10楼,刘萍萍、何菲、杨馨、吴赛0731-89791108,"国家统计局湖南调查总队2026年信息化安全服务项目竞争性磋商文件（定稿）.pdf,中小企业声明函.pdf,最后报价.pdf","[{""attach_name"": ""国家统计局湖南调查总队2026年信息化安全服务项目竞争性磋商文件（定稿）.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=93A296A3204DCAFE9B89AC75938BE0""}, {""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=E193ED8F11BE7519DDAF1AA926B77B""}, {""attach_name"": ""最后报价.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=AE6A466B2BB7D23FE96B6C4A1C0E45""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295867.htm,2026-09-09 16:23:49,,,,,,26.0,彭蓉（主任评委）、谢鼎新、彭泽洲（采购人代表）,0.4,湖南浩基信息技术有限公司,,,,,,
中国人民银行南充市分行2026-2027年度机关食堂原材料供应服务采购项目成交公告,成交公告,,2026年09月09日 15:44,顺庆区,中国人民银行南充市分行,南充市顺庆区涪江路7号,刘女士，0817-2262628,南充临江招标代理有限公司,南充市顺庆区丝绸路丝绸大厦2楼,袁先生，0817-2586065,"中小企业声明函.pdf,评审情况.xls","[{""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=E54A033DF50AB1EBE4048EDFAA46B5""}, {""attach_name"": ""评审情况.xls"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=2E7E239F25A98C660220FB2FEB4187""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295865.htm,2026-09-09 16:23:49,,,,,,0.0,游建华、李茂枝、李强（采购人代表）,0.8167,南充一元食品供应链科技有限公司,,,,,,
湖北某单位2026年职工体检服务采购项目成交结果公告,成交公告,,2026年09月09日 15:40,湖北省,SPD-17,武汉市武昌区洪山路89号,027-87133082,湖北嘉汇志诚招标咨询有限公司,武汉市武昌区和平大道513号绿地铭创大厦2005室,祝晶、廖寿杰  027-86652085-8003,,,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295792.htm,2026-09-09 16:23:49,,,,,,33.444,周素华（组长）、肖正芳（组员）、邹新（组员）,0.50166,武汉大学中南医院,,,,,,
宁夏回族自治区消防救援总队全区消防信息网适配改造项目第一标段成交结果公告,成交公告,,2026年09月09日 15:33,市辖区,宁夏自治区消防救援总队,银川市兴庆区北京东路169号,张助理 0951-5057641,宁夏碧晟工程咨询有限公司,银川市金凤区满城南街东侧臻君豪庭1号综合楼13层,姜欢 0951-6110980,中小企业声明函.pdf,"[{""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=CD4E0BB6558DCF4238CC330B213BA8""}]",https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27295636.htm,2026-09-09 16:23:49,,,,,,28.77,王家黎（组长）、马旸、毛红海（采购人评委）,0.4316,宁夏峰火科技服务有限责任公司,,,,,,
