notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
国家体育总局体育器材装备中心关于国家体育总局登山中心滑雪登山国家队专项器材单一来源采购的单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260818_27154065.htm,2026-08-18 15:42,北京,国家体育总局登山运动管理中心,单一来源公告,单一来源公告
教育部体育卫生与艺术教育司单一来源采购2026年全国青少年校园足球教练员国家级专项培训项目征求意见公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260818_27153128.htm,2026-08-18 14:44,北京,体育卫生与艺术教育司,,未知公告
国家体育总局体育器材装备中心关于国家体育总局排球中心沙排国家队专项器材单一来源采购的单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260814_27134411.htm,2026-08-14 14:55,北京,国家体育总局排球运动管理中心,单一来源公告,单一来源公告
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202605/t20260527_26638031.htm,2026-05-27 11:34,北京,国家体育总局体操运动管理中心,来源采购公告,来源采购公告
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202605/t20260508_26526103.htm,2026-05-08 14:51,北京,国家体育总局体操运动管理中心,来源采购公告,来源采购公告
国家体育总局体育器材装备中心关于国家体育总局排球中心沙滩排球队比赛球单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251020_25535880.htm,2025-10-20 15:38,北京,国家体育总局排球运动管理中心,来源采购公告,来源采购公告
北京兴奋剂检测实验室特定品牌仪器及试剂耗材单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251014_25503020.htm,2025-10-14 17:58,北京,北京兴奋剂检测实验室,来源采购公告,来源采购公告
国家体育总局反兴奋剂中心特定品牌实验耗材采购单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251010_25476981.htm,2025-10-10 19:04,北京,国家体育总局反兴奋剂中心,来源采购公告,来源采购公告
国家体育总局体育器材装备中心关于国家体育总局游泳中心国家跳水队跳板单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202509/t20250918_25370166.htm,2025-09-18 09:46,北京,国家体育总局游泳运动管理中心,来源采购公告,来源采购公告
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队护掌单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202509/t20250902_25277796.htm,2025-09-02 17:10,北京,国家体育总局体操运动管理中心,来源采购公告,来源采购公告
国家教育统计技术支持与数据服务项目单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202508/t20250806_25111166.htm,2025-08-06 15:26,北京,发展规划司,单一来源公示,单一来源公示
国家体育总局体育器材装备中心关于国家体育总局登山中心滑雪登山国家队专项器材单一来源采购的单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202507/t20250731_25074169.htm,2025-07-31 14:15,北京,国家体育总局登山运动管理中心,单一来源公告,单一来源公告
国家体育总局体育器材装备中心关于国家体育总局体操中心艺体国家队专项器材单一来源采购的公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202507/t20250701_24884871.htm,2025-07-01 17:21,北京,国家体育总局体操运动管理中心,源采购的公告,源采购的公告
国家体育总局体育器材装备中心关于国家体育总局体操中心国家队专项器材单一来源采购的单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202506/t20250624_24834029.htm,2025-06-24 13:52,北京,国家体育总局体操运动管理中心,单一来源公告,单一来源公告
2025年度教育助学服务项目实行单一来源采购方式的公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202506/t20250623_24830341.htm,2025-06-23 18:33,北京,财务司,,未知公告
2025年度教育助学服务项目单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202506/t20250623_24829368.htm,2025-06-23 17:27,北京,财务司,单一来源公示,单一来源公示
北京兴奋剂检测实验室特定品牌型号质谱仪采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202504/t20250403_24393538.htm,2025-04-03 13:57,北京,北京兴奋剂检测实验室,谱仪采购公告,谱仪采购公告
国家体育总局体育器材装备中心关于国家体育总局登山中心国家滑雪登山队专项器材单一来源采购的单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202411/t20241104_23519828.htm,2024-11-04 09:13,北京,国家体育总局登山运动管理中心,单一来源公告,单一来源公告
中国羽毛球协会尤尼克斯比赛用羽毛球单一品牌的单一来源采购邀请公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202410/t20241010_23327834.htm,2024-10-10 15:39,北京,中国羽毛球协会,采购邀请公告,采购邀请公告
国家体育总局射击射箭运动管理中心特定品牌国产校箭器采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202408/t20240822_22964204.htm,2024-08-22 15:57,北京,国家体育总局射击射箭运动管理中心特定品牌国产校箭器采购,箭器采购公告,箭器采购公告
国家体育总局射击射箭运动管理中心特定品牌激光电子靶设备采购单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202408/t20240814_22890574.htm,2024-08-14 11:45,北京,国家体育总局射击射箭运动管理中心,单一来源公告,单一来源公告
国家体育总局射击射箭运动管理中心特定品牌射击射箭器材采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202408/t20240801_22780786.htm,2024-08-01 10:35,北京,国家体育总局射击射箭运动管理中心,器材采购公告,器材采购公告
中国人民银行征信中心2023年征信 系统国密升级改造资源扩容采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202403/t20240321_21668035.htm,2024-03-21 17:01,北京,中国人民银行征信中心,单一来源公告,单一来源公告
北京兴奋剂检测实验室特定品牌型号高分辨气相色谱质谱仪采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202403/t20240312_21628123.htm,2024-03-12 21:00,北京,北京兴奋剂检测实验室,谱仪采购公告,谱仪采购公告
国家体育总局自行车击剑运动管理中心特定品牌自行车器材采购单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202312/t20231222_21322138.htm,2023-12-22 15:48,北京,国家体育总局自行车击剑运动管理中心,来源采购公告,来源采购公告
国家体育总局自行车击剑运动管理中心铁人三项队特定品牌训练器材采购单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202311/t20231130_21179615.htm,2023-11-30 15:48,北京,国家体育总局自行车击剑运动管理中心,来源采购公告,来源采购公告
国家体育总局反兴奋剂中心特定品牌兴奋剂检测仪器单一来源采购公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202311/t20231130_21179091.htm,2023-11-30 15:15,北京,国家体育总局反兴奋剂中心,来源采购公告,来源采购公告
