notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
国家体育总局体育器材装备中心关于国家体育总局登山中心滑雪登山国家队专项器材单一来源采购的单一来源公告,单一来源公示,,2026年08月18日 15:42,北京市,国家体育总局登山运动管理中心,北京市东城区体育馆路9号,010-87182692,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260818_27154065.htm,2026-09-09 16:27:30,单一来源采购,158.5,table,,,,,,,,,,,,
教育部体育卫生与艺术教育司单一来源采购2026年全国青少年校园足球教练员国家级专项培训项目征求意见公示,单一来源公示,,2026年08月18日 14:44,北京市,体育卫生与艺术教育司,北京市西城区金融街街道大木仓胡同35号院,13765102607,无,无,无,"（1）单一来源采购专家论证意见表.pdf,（3）单一来源采购专家论证意见表.pdf,（2）单一来源采购专家论证意见表.pdf","[{""attach_name"": ""（1）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=47a6ed26-fa19-441c-8fcd-9d9213""}, {""attach_name"": ""（3）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6fa76484-ab6f-4cf8-b4c0-6e672b""}, {""attach_name"": ""（2）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=5338ab37-5332-455e-ab13-5daf1d""}]",https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260818_27153128.htm,2026-09-09 16:27:30,单一来源采购,380.0,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局排球中心沙排国家队专项器材单一来源采购的单一来源公告,单一来源公示,,2026年08月14日 14:55,北京市,国家体育总局排球运动管理中心,北京市东城区体育馆路2号,010-87183523,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202608/t20260814_27134411.htm,2026-09-09 16:27:31,单一来源采购,16.64,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,单一来源公示,,2026年05月27日 11:34,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182758,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202605/t20260527_26638031.htm,2026-09-09 16:27:31,单一来源采购,237.715,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,单一来源公示,,2026年05月08日 14:51,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182962,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202605/t20260508_26526103.htm,2026-09-09 16:27:31,单一来源采购,131.43,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局排球中心沙滩排球队比赛球单一来源采购公告,单一来源公示,,2025年10月20日 15:38,北京市,国家体育总局排球运动管理中心,北京市东城区体育馆路2号,010-87183527,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251020_25535880.htm,2026-09-09 16:27:31,单一来源采购,16.64,table,,,,,,,,,,,,
北京兴奋剂检测实验室特定品牌仪器及试剂耗材单一来源采购公告,单一来源公示,,2025年10月14日 17:58,北京市,北京兴奋剂检测实验室,详情见公告正文,13641374700,国家体育总局体育器材装备中心,北京市东城区体育馆路3号,010-87182686,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251014_25503020.htm,2026-09-09 16:27:31,单一来源采购,1071.44,table,,,,,,,,,,,,
国家体育总局反兴奋剂中心特定品牌实验耗材采购单一来源采购公告,单一来源公示,,2025年10月10日 19:04,北京市,国家体育总局反兴奋剂中心,详情见公告正文,010-87425132,国家体育总局体育器材装备中心,北京市东城区体育馆路3号,010-87182686,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202510/t20251010_25476981.htm,2026-09-09 16:27:31,单一来源采购,105.3,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局游泳中心国家跳水队跳板单一来源采购公告,单一来源公示,,2025年09月18日 09:46,北京市,国家体育总局游泳运动管理中心,北京市东城区体育馆路2号,010-67170592,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202509/t20250918_25370166.htm,2026-09-09 16:27:31,单一来源采购,172.0,table,,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队护掌单一来源采购公告,单一来源公示,,2025年09月02日 17:10,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182692,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./202509/t20250902_25277796.htm,2026-09-09 16:27:31,单一来源采购,6.5,table,,,,,,,,,,,,
