notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,contact_name,contact_tel,attach_file_names,attach_json,notice_url,crawl_time,content_text,industry,bid_deadline,source,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,win_detail_json,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time
国家体育总局体育器材装备中心关于国家体育总局登山中心滑雪登山国家队专项器材单一来源采购的单一来源公告,单一来源采购公告,DYWH26-05,2026年08月18日 15:42,北京市,国家体育总局登山运动管理中心,北京市东城区体育馆路9号,010-87182692,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202608/t20260818_27154065.htm,2026-09-10 09:24:10,"th,td {border:1px solid #DDD;padding: 5px 10px;}.template-center-hide-state{display:none !important;} 国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局登山中心滑雪登山国家队专项器材单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。 项目名称： 国家体育总局登山中心滑雪登山国家队专项器材单一来源采购 项目编号： DYWH26-05 项目联系人： 王宏博 项目联系电话： 010-87182635  采购单位联系方式：采购单位：国家体育总局采购单位地址：北京市东城区体育馆路5号采购单位联系方式： 李振龙  010-87182692  代理机构联系方式：代理机构： 国家体育总局体育器材装备中心 代理机构联系人： 王宏博  010-87182635 代理机构地址：  北京市东城区体育馆路3号620  一、拟采购的货物或者服务的说明:     预算金额可无标项序号标项名称数量单位预算金额(元)简要规格描述是否允许联合体投标最高限价（元）合同履约期限备注6700001第一包75见采购文件670000见采购文件否/见采购文件9150002第二包不限见采购文件915000见采购文件否/见采购文件  二、开标时间： 2026年08月25日 15:30   三、其它补充事宜 装备中心601  四、预算金额预算金额（元）： 1585000 （人民币） 附件信息：DYWH26-05登山中心滑雪登山国家队单一来源采购.doc107.3K",文化旅游,,中国政府采购网,单一来源采购,158.5,table,,,,,,,,,,,2026年08月25日 15:30
教育部体育卫生与艺术教育司单一来源采购2026年全国青少年校园足球教练员国家级专项培训项目征求意见公示,单一来源公示,,2026年08月18日 14:44,北京市,体育卫生与艺术教育司,北京市西城区金融街街道大木仓胡同35号院,13765102607,无,无,无,胡老师,010-68551817）,"（1）单一来源采购专家论证意见表.pdf,（3）单一来源采购专家论证意见表.pdf,（2）单一来源采购专家论证意见表.pdf","[{""attach_name"": ""（1）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=47a6ed26-fa19-441c-8fcd-9d9213""}, {""attach_name"": ""（3）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6fa76484-ab6f-4cf8-b4c0-6e672b""}, {""attach_name"": ""（2）单一来源采购专家论证意见表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=5338ab37-5332-455e-ab13-5daf1d""}]",https://www.ccgp.gov.cn/cggg/zygg/dylygg/202608/t20260818_27153128.htm,2026-09-10 09:24:11,教育部体育卫生与艺术教育司单一来源采购2026年全国青少年校园足球教练员国家级专项培训项目征求意见公示      教育部申请教育部体育卫生与艺术教育司2026年全国青少年校园足球教练员国家级专项培训项目采购项目采用单一来源方式采购，项目预算金额 380万元（人民币），该项目拟由中国足球协会，北京市朝阳区广渠路世东国际大厦提供（或承担）。现将有关情况向潜在政府采购供应商征求意见。征求意见期限从2026年8月18日至 2026年08月25日止。        潜在政府采购供应商对公示内容有异议的，请于公示期满后两个工作日内以实名书面（包括联系人、地址、联系电话）形式将意见反馈至财政部国库司政府采购审核处（联系电话：010-68551817）和教育部（联系人：胡老师，联系电话：010-66093011），以及使用单位教育部体育卫生与艺术教育司（地址：北京市西城区金融街街道大木仓胡同35号院，联系人，张老师，联系电话：010-66097429）。附件：1.专家论证意见及专家姓名，工作单位、职称；（1）单一来源采购专家论证意见表（高晓峰） （2）单一来源采购专家论证意见表（周誉）（3）单一来源采购专家论证意见表（刘海元）                                                                                                                                             2026年8月18日,医疗卫生,,中国政府采购网,单一来源采购,380.0,table,,,,,,,,中国足球协会,,2026年8月18日 至 2026年08月25日,
国家体育总局体育器材装备中心关于国家体育总局排球中心沙排国家队专项器材单一来源采购的单一来源公告,单一来源采购公告,DYWH26-04,2026年08月14日 14:55,北京市,国家体育总局排球运动管理中心,北京市东城区体育馆路2号,010-87183523,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202608/t20260814_27134411.htm,2026-09-10 09:24:12,"th,td {border:1px solid #DDD;padding: 5px 10px;}.template-center-hide-state{display:none !important;} 国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局排球中心沙排国家队专项器材单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。 项目名称： 国家体育总局排球中心沙排国家队专项器材单一来源采购 项目编号： DYWH26-04 项目联系人： 王宏博 项目联系电话： 010-87182635  采购单位联系方式：采购单位：国家体育总局采购单位地址：北京市东城区体育馆路5号采购单位联系方式： 刘冰  010-87183523  代理机构联系方式：代理机构： 国家体育总局体育器材装备中心 代理机构联系人： 王宏博  010-87182635 代理机构地址：  北京市东城区体育馆路3号620  一、拟采购的货物或者服务的说明:     预算金额可无标项序号标项名称数量单位预算金额(元)简要规格描述是否允许联合体投标最高限价（元）合同履约期限备注1664001沙滩排球256个166400见采购文件否/见采购文件  二、开标时间： 2026年08月20日 11:00   三、其它补充事宜 见采购文件  四、预算金额预算金额（元）： 166400 （人民币） 附件信息：DYWH26-04排球中心沙排国家队单一来源采购.doc91.0K",文化旅游,,中国政府采购网,单一来源采购,16.64,table,,,,,,,,,,,2026年08月20日 11:00
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,单一来源采购公告,DYWH26-02,2026年05月27日 11:34,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182758,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202605/t20260527_26638031.htm,2026-09-10 09:24:12,"th,td {border:1px solid #DDD;padding: 5px 10px;}.template-center-hide-state{display:none !important;} 国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局体操中心国家体操队专项器材单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。 项目名称： 国家体育总局体操中心国家体操队专项器材单一来源采购 项目编号： DYWH26-02 项目联系人： 王宏博 项目联系电话： 010-87182635  采购单位联系方式：采购单位：国家体育总局采购单位地址：北京市东城区体育馆路5号采购单位联系方式： 谢会军   010-87182758  代理机构联系方式：代理机构： 国家体育总局体育器材装备中心 代理机构联系人： 王宏博  010-87182635 代理机构地址：  北京市东城区体育馆路3号620  一、拟采购的货物或者服务的说明:     预算金额可无标项序号标项名称数量单位预算金额(元)简要规格描述是否允许联合体投标最高限价（元）合同履约期限备注23771501国家体操队器材不限见采购文件2377150见采购文件否/见采购文件  二、开标时间： 2026年06月02日 14:30   三、其它补充事宜 见采购文件  四、预算金额预算金额（元）： 2377150 （人民币） 附件信息：DYWH26-02体操中心国家体操队单一来源采购.doc117.9K",文化旅游,,中国政府采购网,单一来源采购,237.715,table,,,,,,,,,,,2026年06月02日 14:30
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队专项器材单一来源采购公告,单一来源采购公告,DYWH26-01,2026年05月08日 14:51,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182962,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202605/t20260508_26526103.htm,2026-09-10 09:24:13,"th,td {border:1px solid #DDD;padding: 5px 10px;}.template-center-hide-state{display:none !important;} 国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局体操中心国家体操队专项器材单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。 项目名称： 国家体育总局体操中心国家体操队专项器材单一来源采购 项目编号： DYWH26-01 项目联系人： 王宏博 项目联系电话： 010-87182635  采购单位联系方式：采购单位：国家体育总局采购单位地址：北京市东城区体育馆路5号采购单位联系方式： 谢会军   010-87182962  代理机构联系方式：代理机构： 国家体育总局体育器材装备中心 代理机构联系人： 王宏博  010-87182635 代理机构地址：  北京市东城区体育馆路3号620  一、拟采购的货物或者服务的说明:     预算金额可无标项序号标项名称数量单位预算金额(元)简要规格描述是否允许联合体投标最高限价（元）合同履约期限备注13142981体操器材不限见采购文件1314298见采购文件否/见采购文件  二、开标时间： 2026年05月13日 10:30   三、其它补充事宜 见采购文件  四、预算金额预算金额（元）： 1314298 （人民币） 附件信息：DYWH26-01体操中心国家体操队单一来源采购.doc113.2K",文化旅游,,中国政府采购网,单一来源采购,131.43,table,,,,,,,,,,,2026年05月13日 10:30
国家体育总局体育器材装备中心关于国家体育总局排球中心沙滩排球队比赛球单一来源采购公告,单一来源采购公告,DYWH25-08,2025年10月20日 15:38,北京市,国家体育总局排球运动管理中心,北京市东城区体育馆路2号,010-87183527,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202510/t20251020_25535880.htm,2026-09-10 09:24:14,"th,td {border:1px solid #DDD;padding: 5px 10px;} .template-center-hide-state{display:none !important;}  国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局排球中心沙滩排球队比赛球单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。   项目名称： 国家体育总局排球中心沙滩排球队比赛球单一来源采购  项目编号： DYWH25-08  项目联系人： 王宏博  项目联系电话： 010-87182635    采购单位联系方式： 采购单位：国家体育总局 采购单位地址：北京市东城区体育馆路5号 采购单位联系方式： 刘冰  010-87183527    代理机构联系方式： 代理机构： 国家体育总局体育器材装备中心  代理机构联系人： 王宏博  010-87182635  代理机构地址：  北京市东城区体育馆路3号620    一、拟采购的货物或者服务的说明:   预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 166400 1 沙滩排球 256 个 166400 见采购文件 否 / 见采购文件 预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 166400 1 沙滩排球 256 个 166400 见采购文件 否 / 见采购文件     二、开标时间： 2025年10月28日 10:00     三、其它补充事宜  具体见采购文件    四、预算金额 预算金额（元）： 166400 （人民币）   附件信息： DYWH25-08排球中心国家沙滩排球队比赛球单一来源采购.doc79.4K",文化旅游,,中国政府采购网,单一来源采购,16.64,table,,,,,,,,,,,2025年10月28日 10:00
北京兴奋剂检测实验室特定品牌仪器及试剂耗材单一来源采购公告,单一来源采购公告,FZZJ25-03,2025年10月14日 17:58,北京市,北京兴奋剂检测实验室,详情见公告正文,13641374700,国家体育总局体育器材装备中心,北京市东城区体育馆路3号,010-87182686,张老师,,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202510/t20251014_25503020.htm,2026-09-10 09:24:15,"th,td {border:1px solid #DDD;padding: 5px 10px;} .template-center-hide-state{display:none !important;}项目名称： 北京兴奋剂检测实验室特定品牌仪器及试剂耗材采购 项目编号： FZZJ25-03 采购单位联系方式：采购单位：北京兴奋剂检测实验室采购单位地址：北京市朝阳区安定路1号院1号楼采购单位联系方式： 马老师  13641374700  代理机构联系方式：代理机构： 国家体育总局体育器材装备中心 代理机构联系人： 张老师  010-87182686 代理机构地址：  北京市东城区体育馆路3号  一、拟采购的货物的说明:详见本公告附件采购文件要求 二、开标时间： 2025年10月20日 14:00   三、预算金额预算金额（元）： 1,0714,367 （人民币） 附件信息: FZZJ25-03采购文件.docx (0.1 KB)",科研检测,,中国政府采购网,单一来源采购,1071.44,table,,,,,,,,,,,2025年10月20日 14:00
国家体育总局反兴奋剂中心特定品牌实验耗材采购单一来源采购公告,单一来源采购公告,DYZJ25-06,2025年10月10日 19:04,北京市,国家体育总局反兴奋剂中心,详情见公告正文,010-87425132,国家体育总局体育器材装备中心,北京市东城区体育馆路3号,010-87182686,,,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202510/t20251010_25476981.htm,2026-09-10 09:24:15,"th,td {border:1px solid #DDD;padding: 5px 10px;} table {border-spacing:0}一、项目基本情况项目编号：DYZJ25-06项目名称：国家体育总局反兴奋剂中心特定品牌实验耗材采购采购方式：单一来源采购预算金额（元）：1053000采购需求：详见附件采购文件二、申请人的资格要求：详见公告附件采购文件三、获取采购文件公告发布之日起至2025年10月14日至16:00（北京时间，法定节假日除外）四、响应文件提交、开启截止时间：2025年10月16日 09:30（北京时间）五、凡对本项目提出询问，请按以下方式联系1.采购人信息名 称：国家体育总局反兴奋剂中心地 址：北京市朝阳区安定路1号联系方式：董老师010-874251322.采购代理机构信息名 称：国家体育总局体育器材装备中心地 址：北京市东城区体育馆路3号联系方式：张老师010-87182686 附件信息: DYZJ25-06采购.docx (495.3 KB)",文化旅游,2025-10-16 09:30,中国政府采购网,单一来源采购,105.3,table,,,,,,,,,,,
国家体育总局体育器材装备中心关于国家体育总局游泳中心国家跳水队跳板单一来源采购公告,单一来源采购公告,DYWH25-07,2025年09月18日 09:46,北京市,国家体育总局游泳运动管理中心,北京市东城区体育馆路2号,010-67170592,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202509/t20250918_25370166.htm,2026-09-10 09:24:16,"th,td {border:1px solid #DDD;padding: 5px 10px;} .template-center-hide-state{display:none !important;}  国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局游泳中心国家跳水队跳板单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。   项目名称： 国家体育总局游泳中心国家跳水队跳板单一来源采购  项目编号： DYWH25-07  项目联系人： 王宏博  项目联系电话： 010-87182635    采购单位联系方式： 采购单位：国家体育总局 采购单位地址：北京市东城区体育馆路5号 采购单位联系方式： 杨玥琳  010-67170592    代理机构联系方式： 代理机构： 国家体育总局体育器材装备中心  代理机构联系人： 王宏博  010-87182635  代理机构地址：  北京市东城区体育馆路3号620    一、拟采购的货物或者服务的说明:   预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 1720000 1 见采购文件 不限 见采购文件 1720000 见采购文件 否 / 见采购文件 预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 1720000 1 见采购文件 不限 见采购文件 1720000 见采购文件 否 / 见采购文件     二、开标时间： 2025年09月24日 10:00     三、其它补充事宜  见采购文件    四、预算金额 预算金额（元）： 1720000 （人民币）   附件信息： DYWH25-07游泳中心国家跳水队跳板单一来源采购.doc81.5K",文化旅游,,中国政府采购网,单一来源采购,172.0,table,,,,,,,,,,,2025年09月24日 10:00
国家体育总局体育器材装备中心关于国家体育总局体操中心国家体操队护掌单一来源采购公告,单一来源采购公告,DYWH25-06,2025年09月02日 17:10,北京市,国家体育总局体操运动管理中心,北京市东城区体育馆路5号,010-87182692,国家体育总局体育器材装备中心,北京市东城区体育馆路3号620,010-87182635,王宏博,010-87182635,,,https://www.ccgp.gov.cn/cggg/zygg/dylygg/202509/t20250902_25277796.htm,2026-09-10 09:24:17,"th,td {border:1px solid #DDD;padding: 5px 10px;} .template-center-hide-state{display:none !important;}  国家体育总局体育器材装备中心 受国家体育总局委托，根据《中华人民共和国政府采购法》等有关规定，现对  国家体育总局体操中心国家体操队护掌单一来源采购 进行单一来源招标，欢迎合格的供应商前来投标。   项目名称： 国家体育总局体操中心国家体操队护掌单一来源采购  项目编号： DYWH25-06  项目联系人： 王宏博  项目联系电话： 010-87182635    采购单位联系方式： 采购单位：国家体育总局 采购单位地址：北京市东城区体育馆路5号 采购单位联系方式： 谢会军   010-87182692    代理机构联系方式： 代理机构： 国家体育总局体育器材装备中心  代理机构联系人： 王宏博  010-87182635  代理机构地址：  北京市东城区体育馆路3号620    一、拟采购的货物或者服务的说明:   预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 64950 1 护掌 113 副 64950 具体见采购文件 否 / 具体见采购文件 预算金额可无 标项序号 标项名称 数量 单位 预算金额(元) 简要规格描述 是否允许联合体投标 最高限价（元） 合同履约期限 备注 64950 1 护掌 113 副 64950 具体见采购文件 否 / 具体见采购文件     二、开标时间： 2025年09月08日 14:30     三、其它补充事宜  具体见采购人    四、预算金额 预算金额（元）： 64950 （人民币）   附件信息： DYWH25-06体操中心国家体操队护掌单一来源采购.doc79.4K",文化旅游,,中国政府采购网,单一来源采购,6.5,table,,,,,,,,,,,2025年09月08日 14:30
