notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
ZYCGR22011903多组学检测试剂(第二次)公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295790.htm,2026-09-09 15:40,上海,zycgr22011903,公开招标公告,公开招标公告
池州市消防训练基地学员宿舍（食堂）部分设施设备采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295711.htm,2026-09-09 15:37,安徽,池州市消防救援支队,公开招标公告,公开招标公告
中国民用航空华东地区空中交通管理局华东地区（厦门）空中交通管制能力提升基础设施建设工程/华东地区（合肥）空中交通管制能力提升基础设施建设工程/华东地区（南昌）空中交通管制能力提升基础设施建设工程甚高频地空通信系统（国产）采购项目(重新招标)公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295630.htm,2026-09-09 15:32,福建,中国民用航空华东地区空中交通管理局,公开招标公告,公开招标公告
先进环境装备与污染防治技术全国重点实验室提升原始创新能力建设项目—2026年设备采购项目（第3包）公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295498.htm,2026-09-09 15:27,广东,中国科学院广州地球化学研究所,公开招标公告,公开招标公告
先进环境装备与污染防治技术全国重点实验室提升原始创新能力建设项目—2026年设备采购项目（第2包）公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295503.htm,2026-09-09 15:26,广东,中国科学院广州地球化学研究所,公开招标公告,公开招标公告
中国科学院声学研究所船舶高性能数据融合处理系统和全流量留存回溯分析系统采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295493.htm,2026-09-09 15:26,北京,中国科学院声学研究所,公开招标公告,公开招标公告
中国科学院微小卫星创新研究院eXTP卫星电源子系统研制公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295496.htm,2026-09-09 15:26,上海,中国科学院微小卫星创新研究院,公开招标公告,公开招标公告
先进环境装备与污染防治技术全国重点实验室提升原始创新能力建设项目—2026年设备采购项目（第1包）公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295446.htm,2026-09-09 15:25,广东,中国科学院广州地球化学研究所,公开招标公告,公开招标公告
中华人民共和国辽宁出入境边防检查总站数据专线租赁服务采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295358.htm,2026-09-09 15:21,辽宁,中华人民共和国辽宁出入境边防检查总站,公开招标公告,公开招标公告
某单位船舶租赁服务采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295327.htm,2026-09-09 15:18,山东,zycgr20240418,公开招标公告,公开招标公告
宽频等效负载用材料采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295297.htm,2026-09-09 15:16,北京,zycgr22011902,公开招标公告,公开招标公告
国家税务总局南昌市西湖区税务局食堂食材采购项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295264.htm,2026-09-09 15:14,江西,国家税务总局南昌市西湖区税务局,公开招标公告,公开招标公告
陕西师范大学历史文化学院未来教师学科实验中心设备建设项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295260.htm,2026-09-09 15:14,陕西,陕西师范大学,公开招标公告,公开招标公告
中国人民银行雄安新区分行办公用房租赁项目公开招标公告（二次）,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295236.htm,2026-09-09 15:13,河北,中国人民银行雄安新区分行,公开招标公告,公开招标公告
武汉铁路公安局2026年局机关、武汉处(含武汉地区和部分豫南片区)、襄阳处部分民警及麻城处在职民警体检项目公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295161.htm,2026-09-09 15:09,湖北,武汉铁路公安局,公开招标公告,公开招标公告
国家税务总局2026年电子公文系统升级完善及运行维护项目招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295233.htm,2026-09-09 15:06,北京,国家税务总局,招标公告,招标公告
海关总署2026年国际贸易统计数据及服务采购项目,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295130.htm,2026-09-09 15:01,北京,海关总署物资装备采购中心,,未知公告
南京农业大学动物科学类国家级实验教学示范中心实验室设备、家具采购公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294902.htm,2026-09-09 14:46,江苏,南京农业大学,公开招标公告,公开招标公告
天津市消防救援总队轨道交通支队物业管理服务项目（项目编号：TGPC-2026-D-1001）公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27294863.htm,2026-09-09 14:42,天津,天津市消防救援总队轨道交通支队,公开招标公告,公开招标公告
