admin_region,agent_address,agent_contact,agent_name,agent_service_fee,attach_file_names,attach_json,budget,budget_source,buyer_address,buyer_contact,buyer_name,change_item,contact_name,contact_tel,crawl_time,judge_experts,notice_title,notice_type,notice_url,open_bid_time,project_code,proposed_supplier,publicity_period,publish_time,purchase_method,single_source_reason,terminate_reason,win_supplier,win_total_amount
广东省,北京市海淀区丹棱街1号互联网金融中心20层,迟兆洋、叶明、林杨婷 020-87001523  ytlin@oitc.com.cn、cjwang@oitc.com.cn 、sli@oitc.com.cn,东方国际招标有限责任公司,,170066第一包项目需求.docx,"[{""attach_name"": ""170066第一包项目需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=17C0DDC6501B87B6192FFAC78F4241""}]",440.0,,广州市天河区科华街511号,林老师 020-85290292 ；石老师 020-85290350,中国科学院广州地球化学研究所,,,,2026-09-09 15:37:26,,先进环境装备与污染防治技术全国重点实验室提升原始创新能力建设项目—2026年设备采购项目（第1包）公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295446.htm,2026年09月30日  09:30,OITC-G260170066/01,,,2026年09月09日 15:25,,,,,
辽宁省,沈阳市浑南区高歌路5号,李默、任玲、陈宇，024-23883380-8022,乔泰工程管理集团有限公司,,,,161.595,,辽宁省沈阳市皇姑区黄河北大街123号,刘警官，024-86501111-7117,中华人民共和国辽宁出入境边防检查总站,,,,2026-09-09 15:37:26,,中华人民共和国辽宁出入境边防检查总站数据专线租赁服务采购项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295358.htm,2026年09月30日  09:30,QTJT2026080501,,,2026年09月09日 15:21,,,,,
青岛市,青岛市市南区延安三路220号邮政大厦16层,张锡杰 15265262977,青岛采购招标中心有限公司,,,,550.0,,/,/,zycgr20240418,,,,2026-09-09 15:37:26,,某单位船舶租赁服务采购项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295327.htm,2026年10月08日  09:30,QCZ2026-091641034X,,,2026年09月09日 15:18,,,,,
北京市,北京市东城区东四十条甲22号南新仓商务大厦B座922,刘艳素、王文静、陈洁、徐梓瑶、刘戈010-53347227、17710393237,天恒招标有限公司,,采购文件获取登记表.xls,"[{""attach_name"": ""采购文件获取登记表.xls"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=18E4374B3E4063914BEFF991281632""}]",0.0,,/,李老师 010-57305134,zycgr22011902,,,,2026-09-09 15:37:26,,宽频等效负载用材料采购项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295297.htm,2026年09月30日  09:30,THTC-HR-HLZB2026031,,,2026年09月09日 15:16,,,,,
西湖区,江西省南昌市东湖区省政府大院北二路92号（咨询大厦）313室,万里阳、胡显帧、熊泽锦、张鸿0791-86214279,江西省机电设备招标有限公司,,"报名表.docx,采购需求.doc","[{""attach_name"": ""报名表.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=59666EC2CFE7FCE65818C6EF92E1E0""}, {""attach_name"": ""采购需求.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6CB11D79E59F86D49D48F71B21DBEB""}]",255.0,,南昌市西湖区永乐路99号,安宇0791-88452578,国家税务总局南昌市西湖区税务局,,,,2026-09-09 15:37:26,,国家税务总局南昌市西湖区税务局食堂食材采购项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295264.htm,2026年09月30日  10:30,JXTC2026040565,,,2026年09月09日 15:14,,,,,
西安市,西安市高新区高新四路1号高科广场A座10楼1001会议室,陈璐、赵倩、刘洪涛029-87304306、029-87304326、029-88364979转857,陕西中技招标有限公司,,,,224.0,,西安市长安区西长安街620号,曹睿、李婷029-85310696,陕西师范大学,,,,2026-09-09 15:37:27,,陕西师范大学历史文化学院未来教师学科实验中心设备建设项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295260.htm,2026年09月30日  13:00,AJ26077/SZT2026-SN-ZY-ZC-HW-0820,,,2026年09月09日 15:14,,,,,
容城县,石家庄市桥西区胜利南街416号塔坛国际商贸城9号写字楼,吴林杰  0311-89605526，13363802017,石家庄和冠招标代理有限公司,,,,269.73,,河北省保定市容城县板正南大街30号,王子雨 0312-7209028,中国人民银行雄安新区分行,,,,2026-09-09 15:37:27,,中国人民银行雄安新区分行办公用房租赁项目公开招标公告（二次）,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295236.htm,2026年09月30日  14:00,HGZB2026024,,,2026年09月09日 15:13,,,,,
湖北省,武汉市武昌区中北路109号中铁1818中心10楼,宋黎明、汪树新、余轶菲、张锡文 电 话：027-87272718 电子邮箱：876077212@qq.com,湖北国华项目管理咨询有限公司,,招标公告.docx,"[{""attach_name"": ""招标公告.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=5CB6F0A5CFC1BDA26508BBB67CC25B""}]",219.99894,,湖北省武汉市武昌区静安路15号,刘女士027-51165698,武汉铁路公安局,,,,2026-09-09 15:37:27,,武汉铁路公安局2026年局机关、武汉处(含武汉地区和部分豫南片区)、襄阳处部分民警及麻城处在职民警体检项目公开招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295161.htm,2026年09月30日  09:30,ZB0111-202609-ZCFW1468,,,2026年09月09日 15:09,,,,,
北京市,详见公告正文,详见公告正文,详见公告正文,,,,500.8,,北京市海淀区羊坊店西路5号,010-61986968（采购文件），010-61986967（项目评审）,国家税务总局,,,,2026-09-09 15:37:27,,国家税务总局2026年电子公文系统升级完善及运行维护项目招标公告,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295233.htm,2026年10月14日  14:30,,,,2026年09月09日 15:06,,,,,
北京市,详见公告正文,详见公告正文,详见公告正文,,,,200.0,,北京市东城区金宝街61号鑫海锦江大酒店,"采购机构名称：海关总署物资装备采购中心
地址：北京市东城区金宝街61号鑫海锦江大酒店
邮政编码：100005
联系方式：010-65194838（平台使用技术咨询）
010-65194937（业务咨询）
010-65195677（质疑受理）",海关总署物资装备采购中心,,,,2026-09-09 15:37:27,,海关总署2026年国际贸易统计数据及服务采购项目,公开招标公告,https://www.ccgp.gov.cn/cggg/zygg/gkzb/./202609/t20260909_27295130.htm,2026年10月12日  08:45,,,,2026年09月09日 15:01,,,,,
