notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
浙江和源项目管理有限公司关于浙江省杭州市萧山区消防救援大队2026年度零星维修项目的更正公告,变更公告,ZJHY-GKFW-20260826,2026年09月09日 16:17,杭州市,杭州市萧山区消防救援大队,杭州市萧山区晨晖路1089号,姜老师0571-83812706,浙江和源项目管理有限公司,杭州市上城区秋涛北路332号佰富时代中心3幢16楼1603,王老师17682339490,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296577.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
华北电力大学维修类物资采购更正公告,变更公告,2026FW041,2026年09月09日 16:09,北京市,华北电力大学,北京市昌平区北农路2号,张老师010-61772996,盛和招标代理有限公司,北京市海淀区马甸东路17号金澳国际写字楼27层2707-2710室,侯美玲、许铖铖、韩伟、李秀艳、李卫强、孙伟、高干、苏云龙、梁冰、毛允东、侯常胜、崔耀文、陈子轩13731676296、13145412332、18706413729,附件.docx,"[{""attach_name"": ""附件.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=1B423E39ADCF5165FDF09B713BAD53""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296390.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
中国药品检定研究院基因测序科学监管智慧平台更正公告,变更公告,2641STC73104,2026年09月09日 16:09,北京市,中国食品药品检定研究院,北京市大兴区华佗路31号,肖老师，010-53852873,中钢招标有限责任公司,北京市海淀区海淀大街8号中钢国际广场16层,010-62688251,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296378.htm,2026-09-09 16:41:31,,,,,采购公告,,,,,,,,,,
电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目更正公告,变更公告,HQ20260802,2026年09月09日 16:08,四川省,电子科技大学,成都市高新区（西区）西源大道2006号电子科技大学清水河校区综合楼433室,刘老师  丁老师  028-61831779,详见公告正文,详见公告正文,详见公告正文,HQ20260802-电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目-报价邀请文件（最终稿） (更正后).docx,"[{""attach_name"": ""HQ20260802-电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目-报价邀请文件（最终稿） (更正后).docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=18D472F74981F3D156F9B0833F4EB8""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296389.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
商务部国际商务官员研修学院某国农民大豆玉米种植技术培训专家顾问项目更正公告,变更公告,2026-019,2026年09月09日 16:08,北京市,商务部,北京市昌平区东三旗商务部国际商务官员研修学院,杨婷、010-80127885,建经投资咨询有限公司,北京市丰台区总部基地17区18号楼13层,魏增雪、赵金丹、向生建  15011419084,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296380.htm,2026-09-09 16:41:31,,,,,采购公告,,,,,,,,,,
天津大学北洋园校区网络安全与人工智能大楼三通一平更正公告,变更公告,TDJJ202600032,2026年09月09日 16:08,天津市,天津大学,天津市南开区卫津路92号,蒯老师、马老师，022-27407597（招标办）,上海建科造价咨询有限公司,天津市河西区大沽南路882号10号楼303,常欣宇、刘牧晖、周子雯、付雅雯、温立军、范继文  15690906185、15222651888,"更正附件.docx,更正公告确认函.docx","[{""attach_name"": ""更正附件.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6C0C26CFFB6334EBB111C50C124A1A""}, {""attach_name"": ""更正公告确认函.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=0E5AE360E04D61ACCDA075D91782DD""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296386.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
HRL1300电堆组装用膜电极和制备工装采购项目更正公告,变更公告,THTC-HR-RLDC2026032,2026年09月09日 16:05,北京市,zycgr22011902,/,冯老师 010-57305132,天恒招标有限公司,北京市东城区东四十条甲22号南新仓商务大厦B座922,赵梦媛、王文静、陈洁、徐梓瑶、刘戈 010-53393815、17710393237,HRL1300电堆组装用膜电极和制备工装采购项目更正公告.docx,"[{""attach_name"": ""HRL1300电堆组装用膜电极和制备工装采购项目更正公告.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=5ABB5BEEE2E9479D78617D4FE8E9A4""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296318.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
中国民用航空飞行学院航空气象空中实验室项目更正公告,变更公告,RHZJ2026037,2026年09月09日 16:02,广汉市,中国民用航空飞行学院,四川省广汉市雒城镇南昌路4段46号,肖老师13658167368,融汇项目管理有限公司,成都市高新区吉泰一街99号国际科技节能大厦B座23层2301号,陈女士028-67697399,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296272.htm,2026-09-09 16:41:31,,,,,采购文件,,,,,,,,,,
2026年成都铁路公安局成都公安处民警（含退休）成都片区健康体检服务项目更正公告,变更公告,SCTFD-采-26ZC072,2026年09月09日 16:00,市辖区,成都铁路公安局,成都市金牛区站西路2号附2号,吴老师028-86424769,四川鑫同方招投标咨询有限公司,成都市高新区锦晖西一街99号荣盛·布鲁明顿广场B座1501室,陈女士028-62079118,"采购文件购买登记表.docx,采购需求.docx","[{""attach_name"": ""采购文件购买登记表.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=2328FCF1088369AD7B3FD56CC47828""}, {""attach_name"": ""采购需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=285E5075C0621F04C11FE13FA55239""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296230.htm,2026-09-09 16:41:31,,,,,采购公告,,,,,,,,,,
中国科学院广州生物医药与健康研究院非标记生物分子相互作用分析系统采购项目更正公告,变更公告,OITC-G260601988,2026年09月09日 15:54,广州市,中国科学院广州生物医药与健康研究院,广州市黄埔区开源大道190号,020-32015352,东方国际招标有限责任公司,北京市海淀区丹棱街1号互联网金融中心20层,迟兆洋、叶明、林杨婷、020-87001523、010-68290583/0548、ytlin@oitc.com.cn、cjwang@oitc.com.cn、sli@oitc.com.cn,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/./202609/t20260909_27296098.htm,2026-09-09 16:41:32,,,,,采购文件,,,,,,,,,,
