notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,contact_name,contact_tel,attach_file_names,attach_json,notice_url,crawl_time,content_text,industry,bid_deadline,source,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,win_detail_json,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time
浙江和源项目管理有限公司关于浙江省杭州市萧山区消防救援大队2026年度零星维修项目的更正公告,变更公告,ZJHY-GKFW-20260826,2026年09月09日 16:17,杭州市,杭州市萧山区消防救援大队,杭州市萧山区晨晖路1089号,姜老师0571-83812706,浙江和源项目管理有限公司,杭州市上城区秋涛北路332号佰富时代中心3幢16楼1603,王老师17682339490,王博,17682339490,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296577.htm,2026-09-10 09:45:18,一、项目基本情况 原公告的采购项目编号：ZJHY-GKFW-20260826 原公告的采购项目名称：浙江省杭州市萧山区消防救援大队2026年度零星维修项目 首次公告日期：2026年09月07日 二、更正信息 更正事项：采购文件 更正内容： 序号 更正项 更正前内容 更正后内容 1 政采云系统设置中评标办法第2条 投标人自2023年08月01日以来（以签订合同时间为准）承担过类似年度零星维修业绩的，每个得0.5分，最高得1分。 投标人自2023年08月01日以来（以签订合同时间为准）承担过类似零星维修业绩的，每个得0.5分，最高得1分。 2 政采云系统设置中评标办法第4条 拟派项目经理具有中级工程师及以上职称的得4分，其余不得分。本项最高得４分。 拟派项目经理具有工程类中级工程师及以上职称的得4分，其余不得分。本项最高得４分。 3 政采云系统设置中评标办法第5条 拟派项目技术负责人（项目经理不得兼任）具有中级工程师及以上职称的得4分，其余不得分。本项最高得4分。 拟派项目技术负责人（项目经理不得兼任）具有工程类中级工程师及以上职称的得4分，其余不得分。本项最高得4分。 更正日期：2026年09月09日 三、其他补充事宜 其他内容不变。  四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：杭州市萧山区消防救援大队 地址：杭州市萧山区晨晖路1089号 联系方式：姜老师0571-83812706 2.采购代理机构信息 名 称：浙江和源项目管理有限公司 地 址：杭州市上城区秋涛北路332号佰富时代中心3幢16楼1603 联系方式：王老师17682339490 3.项目联系方式 项目联系人：王博 电 话： 17682339490,公共安全,,中国政府采购网,,,default,,采购文件,,,,,,,,,
华北电力大学维修类物资采购更正公告,变更公告,2026FW041,2026年09月09日 16:09,北京市,华北电力大学,北京市昌平区北农路2号,张老师010-61772996,盛和招标代理有限公司,北京市海淀区马甸东路17号金澳国际写字楼27层2707-2710室,侯美玲、许铖铖、韩伟、李秀艳、李卫强、孙伟、高干、苏云龙、梁冰、毛允东、侯常胜、崔耀文、陈子轩13731676296、13145412332、18706413729,侯美玲、许铖铖、韩伟、李秀艳,13731676296、13145412332、18706413729,附件.docx,"[{""attach_name"": ""附件.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=1B423E39ADCF5165FDF09B713BAD53""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296390.htm,2026-09-10 09:45:19,一、项目基本情况 原公告的采购项目编号：2026FW041 原公告的采购项目名称：华北电力大学维修类物资采购公开招标公告 首次公告日期：2026年08月27日 二、更正信息 更正事项：采购文件 更正内容： 详见附件。 更正日期：2026年09月09日 三、其他补充事宜 无。 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：华北电力大学 地址：北京市昌平区北农路2号 联系方式：张老师010-61772996 2.采购代理机构信息 名 称：盛和招标代理有限公司 地 址：北京市海淀区马甸东路17号金澳国际写字楼27层2707-2710室 联系方式：侯美玲、许铖铖、韩伟、李秀艳、李卫强、孙伟、高干、苏云龙、梁冰、毛允东、侯常胜、崔耀文、陈子轩13731676296、13145412332、18706413729 3.项目联系方式 项目联系人：侯美玲、许铖铖、韩伟、李秀艳、李卫强、孙伟、高干、苏云龙、梁冰、毛允东、侯常胜、崔耀文、陈子轩 电 话： 13731676296、13145412332、18706413729,教育培训,,中国政府采购网,,,default,,采购文件,,,,,,,,,
中国药品检定研究院基因测序科学监管智慧平台更正公告,变更公告,2641STC73104,2026年09月09日 16:09,北京市,中国食品药品检定研究院,北京市大兴区华佗路31号,肖老师，010-53852873,中钢招标有限责任公司,北京市海淀区海淀大街8号中钢国际广场16层,010-62688251,马娟娟、陈丽、刘健、聂娅琼、王,010-62688223,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296378.htm,2026-09-10 09:45:19,一、项目基本情况 原公告的采购项目编号：2641STC73104 原公告的采购项目名称：中国药品检定研究院基因测序科学监管智慧平台 首次公告日期：2026年08月19日 二、更正信息 更正事项：采购公告 更正内容： 1.获取招标文件时间延长至2026年9月17日17:00（北京时间，法定节假日除外）。2.提交投标文件截止时间、开标时间更正为：2026年9月18日9点30分（北京时间）。3.提交投标文件地点更正为：北京市海淀大街8号中钢国际广场21层会议室。更正事项：采购公告、采购文件 更正日期：2026年09月09日 三、其他补充事宜 招标文件其他内容不变。 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：中国食品药品检定研究院 地址：北京市大兴区华佗路31号 联系方式：肖老师，010-53852873 2.采购代理机构信息 名 称：中钢招标有限责任公司 地 址：北京市海淀区海淀大街8号中钢国际广场16层 联系方式：010-62688251 3.项目联系方式 项目联系人：马娟娟、陈丽、刘健、聂娅琼、王建莉、刘圣钰、宋达 电 话： 010-62688223（获取文件、发票咨询）、010-62686521（项目问询）、010-62688249（项目问询）、chenli@sstc20.com（项目问询）,医疗卫生,,中国政府采购网,,,default,,采购公告,,,,,,,,,
电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目更正公告,变更公告,HQ20260802,2026年09月09日 16:08,四川省,电子科技大学,成都市高新区（西区）西源大道2006号电子科技大学清水河校区综合楼433室,刘老师  丁老师  028-61831779,详见公告正文,详见公告正文,详见公告正文,史老师,028-61832996,HQ20260802-电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目-报价邀请文件（最终稿） (更正后).docx,"[{""attach_name"": ""HQ20260802-电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目-报价邀请文件（最终稿） (更正后).docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=18D472F74981F3D156F9B0833F4EB8""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296389.htm,2026-09-10 09:45:20,一、项目基本情况 原公告的采购项目编号：HQ20260802 原公告的采购项目名称：电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目 首次公告日期：2026年09月07日 二、更正信息 更正事项：采购文件 更正内容： 1.采购文件“第一章邀请公告”的“五、报价邀请文件获取方式、时间、地点：自2026年9月8日至2026年9月10日在“电子科技大学后勤保障部”网站……”修改为“五、报价邀请文件获取方式、时间、地点：自2026年9月8日至2026年9月13日在“电子科技大学后勤保障部”网站……”。2.采购文件“第一章邀请公告”的“六、递交响应文件截止时间：2026年9月11日上午09:30（北京时间）。”修改为“六、递交响应文件截止时间：2026年9月14日上午09:30（北京时间）。”。3.采购文件“第四章采购项目技术、服务及其他商务要求”的“一、★技术、服务要求”中第6项“（2）湿巾，规格：袋装，8包，80片/包。克重：≥60g/㎡，纸张尺寸：长不小于180mm，宽不小于140mm。（所投货物须提供实物图片（或第三方检测报告或产品说明书），图片应清晰展示货物上述信息）”修改为“（2）湿巾，规格：袋装，6包，80片/包。克重：≥60g/㎡，纸张尺寸：长不小于180mm，宽不小于140mm。（所投货物须提供实物图片（或第三方检测报告或产品说明书），图片应清晰展示货物上述信息）”。 更正日期：2026年09月09日 三、其他补充事宜 原公告信息：电子科技大学后勤保障部退休人员2026年中秋节慰问品采购项目邀请公告https://www.ccgp.gov.cn/cggg/zygg/qtgg/202609/t20260907_27280784.htm 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：电子科技大学 地址：成都市高新区（西区）西源大道2006号电子科技大学清水河校区综合楼433室 联系方式：刘老师 丁老师 028-61831779 2.项目联系方式 项目联系人：史老师 电 话： 028-61832996,教育培训,,中国政府采购网,,,default,,采购文件,,,,,,,,,
商务部国际商务官员研修学院某国农民大豆玉米种植技术培训专家顾问项目更正公告,变更公告,2026-019,2026年09月09日 16:08,北京市,商务部,北京市昌平区东三旗商务部国际商务官员研修学院,杨婷、010-80127885,建经投资咨询有限公司,北京市丰台区总部基地17区18号楼13层,魏增雪、赵金丹、向生建  15011419084,魏增雪,15011419084,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296380.htm,2026-09-10 09:45:20,一、项目基本情况 原公告的采购项目编号：2026-019 原公告的采购项目名称：某国农民大豆玉米种植技术培训专家顾问项目 首次公告日期：2026年09月02日 二、更正信息 更正事项：采购公告 更正内容： 本项目招标文件获取及报名时间延期至2026年9月16日16:30（北京时间，法定节假日除外）。招标文件其他内容不变。 更正日期：2026年09月09日 三、其他补充事宜 无。 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：商务部 地址：北京市昌平区东三旗商务部国际商务官员研修学院 联系方式：杨婷、010-80127885 2.采购代理机构信息 名 称：建经投资咨询有限公司 地 址：北京市丰台区总部基地17区18号楼13层 联系方式：魏增雪、赵金丹、向生建 15011419084 3.项目联系方式 项目联系人：魏增雪 电 话： 15011419084,教育培训,,中国政府采购网,,,default,,采购公告,,,,,,,,,
天津大学北洋园校区网络安全与人工智能大楼三通一平更正公告,变更公告,TDJJ202600032,2026年09月09日 16:08,天津市,天津大学,天津市南开区卫津路92号,蒯老师、马老师，022-27407597（招标办）,上海建科造价咨询有限公司,天津市河西区大沽南路882号10号楼303,常欣宇、刘牧晖、周子雯、付雅雯、温立军、范继文  15690906185、15222651888,常欣宇、刘牧晖、周子雯、付雅雯,15690906185、15222651888,"更正附件.docx,更正公告确认函.docx","[{""attach_name"": ""更正附件.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6C0C26CFFB6334EBB111C50C124A1A""}, {""attach_name"": ""更正公告确认函.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=0E5AE360E04D61ACCDA075D91782DD""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296386.htm,2026-09-10 09:45:21,一、项目基本情况 原公告的采购项目编号：TDJJ202600032 原公告的采购项目名称：天津大学北洋园校区网络安全与人工智能大楼三通一平竞争性磋商公告 首次公告日期：2026年09月02日 二、更正信息 更正事项：采购文件 更正内容： 对天津大学北洋园校区网络安全与人工智能大楼三通一平竞争性磋商文件“第七部分 响应文件格式 技术资信响应文件 附件（6）”进行更正，内容详见附件，其他内容不变，请知悉。 更正日期：2026年09月09日 三、其他补充事宜 / 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：天津大学 地址：天津市南开区卫津路92号 联系方式：蒯老师、马老师，022-27407597（招标办） 2.采购代理机构信息 名 称：上海建科造价咨询有限公司 地 址：天津市河西区大沽南路882号10号楼303 联系方式：常欣宇、刘牧晖、周子雯、付雅雯、温立军、范继文 15690906185、15222651888 3.项目联系方式 项目联系人：常欣宇、刘牧晖、周子雯、付雅雯、温立军、范继文 电 话： 15690906185、15222651888,教育培训,,中国政府采购网,,,default,,采购文件,,,,,,,,,
HRL1300电堆组装用膜电极和制备工装采购项目更正公告,变更公告,THTC-HR-RLDC2026032,2026年09月09日 16:05,北京市,zycgr22011902,/,冯老师 010-57305132,天恒招标有限公司,北京市东城区东四十条甲22号南新仓商务大厦B座922,赵梦媛、王文静、陈洁、徐梓瑶、刘戈 010-53393815、17710393237,赵梦媛、王文静、陈洁、徐梓瑶,010-53393815、17710393237,HRL1300电堆组装用膜电极和制备工装采购项目更正公告.docx,"[{""attach_name"": ""HRL1300电堆组装用膜电极和制备工装采购项目更正公告.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=5ABB5BEEE2E9479D78617D4FE8E9A4""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296318.htm,2026-09-10 09:45:21,一、项目基本情况 原公告的采购项目编号：THTC-HR-RLDC2026032 原公告的采购项目名称：HRL1300电堆组装用膜电极和制备工装采购项目 首次公告日期：2026年09月01日 二、更正信息 更正事项：采购文件 更正内容： 原招标文件：第五章   采购需求 9付款条件付款方式：分期支付按照预付款、首次货款、末次货款分阶段支付，支付比例为30%：40%：10%。更正为：第五章   采购需求 9付款条件付款方式：分期支付按照预付款、首次货款、末次货款分阶段支付，支付比例为30%：40%：30%。 更正日期：2026年09月09日 三、其他补充事宜 发布公告的媒介：中国政府采购网 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：zycgr22011902 地址：/ 联系方式：冯老师 010-57305132 2.采购代理机构信息 名 称：天恒招标有限公司 地 址：北京市东城区东四十条甲22号南新仓商务大厦B座922 联系方式：赵梦媛、王文静、陈洁、徐梓瑶、刘戈 010-53393815、17710393237 3.项目联系方式 项目联系人：赵梦媛、王文静、陈洁、徐梓瑶、刘戈 电 话： 010-53393815、17710393237,其他,,中国政府采购网,,,default,,采购文件,,,,,,,,,
中国民用航空飞行学院航空气象空中实验室项目更正公告,变更公告,RHZJ2026037,2026年09月09日 16:02,广汉市,中国民用航空飞行学院,四川省广汉市雒城镇南昌路4段46号,肖老师13658167368,融汇项目管理有限公司,成都市高新区吉泰一街99号国际科技节能大厦B座23层2301号,陈女士028-67697399,陈书萍、钟晓虹、曾俊、黄小雨,028-67697399,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296272.htm,2026-09-10 09:45:22,一、项目基本情况 原公告的采购项目编号：RHZJ2026037 原公告的采购项目名称：中国民用航空飞行学院航空气象空中实验室项目 首次公告日期：2026年09月03日 二、更正信息 更正事项：采购文件 更正内容： 竞争性磋商文件第五章的三、项目清单及技术要求中机载大气参数测量系统的技术参数与性能指标“3.静压范围覆盖0~103.4kPa，静压分辨率0.01 Pa”。更正为：“3.静压范围覆盖0~103.4kPa，静压分辨率0.01 kPa”。其余内容不变！ 更正日期：2026年09月09日 三、其他补充事宜 / 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：中国民用航空飞行学院 地址：四川省广汉市雒城镇南昌路4段46号 联系方式：肖老师13658167368 2.采购代理机构信息 名 称：融汇项目管理有限公司 地 址：成都市高新区吉泰一街99号国际科技节能大厦B座23层2301号 联系方式：陈女士028-67697399 3.项目联系方式 项目联系人：陈书萍、钟晓虹、曾俊、黄小雨 电 话： 028-67697399,教育培训,,中国政府采购网,,,default,,采购文件,,,,,,,,,
2026年成都铁路公安局成都公安处民警（含退休）成都片区健康体检服务项目更正公告,变更公告,SCTFD-,2026年09月09日 16:00,市辖区,成都铁路公安局,成都市金牛区站西路2号附2号,吴老师028-86424769,四川鑫同方招投标咨询有限公司,成都市高新区锦晖西一街99号荣盛·布鲁明顿广场B座1501室,陈女士028-62079118,陈女士,028-62079118,"采购文件购买登记表.docx,采购需求.docx","[{""attach_name"": ""采购文件购买登记表.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=2328FCF1088369AD7B3FD56CC47828""}, {""attach_name"": ""采购需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=285E5075C0621F04C11FE13FA55239""}]",https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296230.htm,2026-09-10 09:45:23,一、项目基本情况 原公告的采购项目编号：SCTFD-采-26ZC072 原公告的采购项目名称：2026年成都铁路公安局成都公安处民警（含退休）成都片区健康体检服务项目 首次公告日期：2026年09月08日 二、更正信息 更正事项：采购公告 更正内容： 1、原公告提交投标文件截止时间：2026年09月28日 10点30分（北京时间）开标时间：2026年09月28日 10点30分（北京时间）更正为：提交投标文件截止时间：2026年09月29日 10点30分（北京时间）开标时间：2026年09月29日 10点30分（北京时间）2、原采购文件 第六章 项目技术、服务、采购合同内容条款及其他商务要求 一、技术要求 （2） 女性职工体检项目 中 第3条  外科（肛诊）了解浅表淋巴结、甲状腺、肛门（含指检）、前列腺（男）等基本情况。  更正为:删除前列腺（男）。3、原采购文件第六章 项目技术、服务、采购合同内容条款及其他商务要求  三、服务要求 中 （7）向采购人提供参检人员的全部体检报告。 更正为：（7）待全部体检工作结束后，中标供应商出具完整的体检报告及建档资料完成后7个工作日内向采购人提供参检人员的全部体检报告。4、原采购文件第六章 项目技术、服务、采购合同内容条款及其他商务要求 四 、商务要求中遗漏服务期限。更正为：1、服务期限:合同签订之日起至2026年12月31日止，具体体检时间与采购人协商。      5、其他内容不变。 更正日期：2026年09月09日 三、其他补充事宜 无 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：成都铁路公安局 地址：成都市金牛区站西路2号附2号 联系方式：吴老师028-86424769 2.采购代理机构信息 名 称：四川鑫同方招投标咨询有限公司 地 址：成都市高新区锦晖西一街99号荣盛·布鲁明顿广场B座1501室 联系方式：陈女士028-62079118 3.项目联系方式 项目联系人：陈女士 电 话： 028-62079118,公共安全,2026-09-28 10:30,中国政府采购网,,,default,,采购公告,,,,,,,,,
中国科学院广州生物医药与健康研究院非标记生物分子相互作用分析系统采购项目更正公告,变更公告,OITC-G260601988,2026年09月09日 15:54,广州市,中国科学院广州生物医药与健康研究院,广州市黄埔区开源大道190号,020-32015352,东方国际招标有限责任公司,北京市海淀区丹棱街1号互联网金融中心20层,迟兆洋、叶明、林杨婷、020-87001523、010-68290583/0548、ytlin@oitc.com.cn、cjwang@oitc.com.cn、sli@oitc.com.cn,迟兆洋、叶明、林杨婷,020-87001523、010-68290583,,,https://www.ccgp.gov.cn/cggg/zygg/gzgg/202609/t20260909_27296098.htm,2026-09-10 09:45:23,"一、项目基本情况 原公告的采购项目编号：OITC-G260601988 原公告的采购项目名称：中国科学院广州生物医药与健康研究院非标记生物分子相互作用分析系统采购项目 首次公告日期：2026年08月21日 二、更正信息 更正事项：采购文件 更正内容： 一、招标文件第四章项目需求“★2.独立检测通道≥6个，可单独、配对、大串联使用(4个一组或6个一组),单针进一个分析物即能获得与5个配体的互作数据，相比多针同时进样更加节省样品。(需提供软件功能截图)。”更正为：“▲2.独立检测通道≥6个，可单独、配对、大串联使用，单针进一个分析物即能获得与5个配体的互作数据。(需提供软件功能截图)。”二、删除原招标文件第四章项目需求：“▲28:原厂能够提供至少4种不同规格的同品牌重力脱盐柱，适配不同处理体积的样品，能开展重力/离心方式的样品脱盐实验。”条款。三、提交投标文件截止时间、开标时间更正为：2026年9月28日14点30分（北京时间）四、其余均不变。 更正日期：2026年09月09日 三、其他补充事宜 中国科学院广州生物医药与健康研究院非标记生物分子相互作用分析系统采购项目公开招标公告：https://www.ccgp.gov.cn/cggg/zygg/gkzb/202608/t20260821_27179561.htm 四、凡对本次公告内容提出询问，请按以下方式联系。 1.采购人信息 名 称：中国科学院广州生物医药与健康研究院 地址：广州市黄埔区开源大道190号 联系方式：020-32015352 2.采购代理机构信息 名 称：东方国际招标有限责任公司 地 址：北京市海淀区丹棱街1号互联网金融中心20层 联系方式：迟兆洋、叶明、林杨婷、020-87001523、010-68290583/0548、ytlin@oitc.com.cn、cjwang@oitc.com.cn、sli@oitc.com.cn 3.项目联系方式 项目联系人：迟兆洋、叶明、林杨婷 电 话： 020-87001523、010-68290583/0548（电话若一时无人接听请发邮件ytlin@oitc.com.cn、cjwang@oitc.com.cn、sli@oitc.com.cn 咨询，我司会及时回复）",医疗卫生,,中国政府采购网,,,default,,采购文件,,,,,,,,,
