notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
江西智拓工程管理有限公司关于吉安市消防救援支队火宣中心人力外包服务项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296306.htm,2026-09-09 16:04,江西,吉安市消防救援支队,竞争性磋商公告,竞争性磋商公告
寿光市消防救援大队2026年度中秋节工会慰问品采购项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296270.htm,2026-09-09 16:02,山东,寿光市消防救援大队,竞争性磋商公告,竞争性磋商公告
成武县消防救援大队成武大队营区训练塔及家属接待室维修工程项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296232.htm,2026-09-09 16:00,山东,成武县消防救援大队,,未知公告
格尔木海关安全隐患维修改造项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296159.htm,2026-09-09 15:56,青海,格尔木海关,,未知公告
广西新凯林管理咨询有限公司关于涠洲海洋站维修工程（BHDW2026-C2-0022-XKL）的竞争性磋商公,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296096.htm,2026-09-09 15:54,广西,自然资源部北海海洋中心,,未知公告
中国电子学会世界机器人大赛报名服务平台建设项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296045.htm,2026-09-09 15:53,北京,中国电子学会,,未知公告
华南理工大学校园光纤系统和管网改造（二期）与弱电设备间维修工程竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295970.htm,2026-09-09 15:52,广东,华南理工大学,竞争性磋商公告,竞争性磋商公告
中央戏剧学院昌平校区安消一体化平台建设（第二次）竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295973.htm,2026-09-09 15:51,北京,中央戏剧学院,竞争性磋商公告,竞争性磋商公告
中央戏剧学院票务系统（二期）竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295986.htm,2026-09-09 15:50,北京,中央戏剧学院,竞争性磋商公告,竞争性磋商公告
北京研究院装修改造竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295988.htm,2026-09-09 15:50,广东,zycgr21071303,竞争性磋商公告,竞争性磋商公告
四川省成都市青白江区消防救援大队2026年度人身意外险采购项目（第二次）竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295712.htm,2026-09-09 15:37,四川,成都市青白江区消防救援大队,竞争性磋商公告,竞争性磋商公告
中央美术学院充电桩项目二次竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295642.htm,2026-09-09 15:33,北京,中央美术学院,竞争性磋商公告,竞争性磋商公告
中国科学院物理研究所先进阿秒激光设施独立接地系统采购项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295634.htm,2026-09-09 15:32,北京,中国科学院物理研究所,,未知公告
无锡市宜兴市消防救援大队关于宜兴市消防救援大队聘请物业项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295581.htm,2026-09-09 15:30,江苏,无锡市宜兴市消防救援大队,,未知公告
肇庆市封开县消防救援大队2026年伙食配送服务采购项目竞争性磋商,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295210.htm,2026-09-09 15:10,广东,封开县消防救援大队,,未知公告
中国科学院海洋研究所液相色谱采购项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295103.htm,2026-09-09 15:04,山东,中国科学院海洋研究所,竞争性磋商公告,竞争性磋商公告
日照市东港区消防救援大队山东省日照市东港区消防救援工会委员会2026年中秋节慰问品采购项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295078.htm,2026-09-09 15:03,山东,日照市东港区消防救援大队,竞争性磋商公告,竞争性磋商公告
崇明区消防救援支队岱山站综合训练场地项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295081.htm,2026-09-09 15:02,上海,崇明区消防救援支队,竞争性磋商公告,竞争性磋商公告
中国疾病预防控制中心北区周界实体防护设施升级改造设计项目竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295084.htm,2026-09-09 15:02,北京,中国疾病预防控制中心,竞争性磋商公告,竞争性磋商公告
中国地质调查局廊坊自然资源综合调查中心地表基质演化与生态环境效应研究中心实验楼项目监理竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27294997.htm,2026-09-09 14:54,天津,中国地质调查局廊坊自然资源综合调查中心,竞争性磋商公告,竞争性磋商公告
