notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
江西智拓工程管理有限公司关于吉安市消防救援支队火宣中心人力外包服务项目竞争性磋商公告,竞争性磋商公告,JXZT-JA2026-337,2026年09月09日 16:04,吉安市,吉安市消防救援支队,江西省吉安市吉州区吉福路61号,裴工13437968824,江西智拓工程管理有限公司,吉安市吉州区五指峰大街12号,余工、卢工18870026665,采购需求.docx,"[{""attach_name"": ""采购需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=EF820C73442F8C57985B2649D611C0""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296306.htm,2026-09-09 16:13:02,竞争性磋商,44.488032,table,,,,,,,,,,,,
寿光市消防救援大队2026年度中秋节工会慰问品采购项目竞争性磋商公告,竞争性磋商公告,WFAK-2026-071,2026年09月09日 16:02,潍坊市,寿光市消防救援大队,寿光市广场街,丁莉、0536-3082216,山东安康建设项目管理有限公司,山东省潍坊市奎文区北苑街道潍州路750号盛福园办公楼2楼,0536-8664998,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296270.htm,2026-09-09 16:13:02,竞争性磋商,7.953,table,,,,,,,,,,,,
成武县消防救援大队成武大队营区训练塔及家属接待室维修工程项目竞争性磋商,竞争性磋商公告,SDSM-2026-0820,2026年09月09日 16:00,成武县,成武县消防救援大队,成武县古城街东段路南 679 号,田晨曦 18766178050,山东仕明项目管理有限公司,菏泽市鲁西新区丹阳街道芦庄社区广州路与太湖路交叉路口往西约150米路南沿街门市,王女士   19053092181,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296232.htm,2026-09-09 16:13:02,竞争性磋商,15.8,table,,,,,,,,,,,,
格尔木海关安全隐患维修改造项目竞争性磋商,竞争性磋商公告,青海巨和竞磋,2026年09月09日 15:56,格尔木市,格尔木海关,中华人民共和国格尔木海关,李希0971-8866560,青海巨和工程咨询管理有限公司,西宁市城西区五四西路61号17层,张啟莲0971-8214387,"采购公告-施工.docx,采购公告-施工.docx","[{""attach_name"": ""采购公告-施工.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=80349042955844A466B24A80E8F399""}, {""attach_name"": ""采购公告-施工.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=BA8E7E416E35930E4931980CB8C303""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296159.htm,2026-09-09 16:13:03,竞争性磋商,95.706765,table,,,,,,,,,,,,
广西新凯林管理咨询有限公司关于涠洲海洋站维修工程（BHDW2026-C2-0022-XKL）的竞争性磋商公,竞争性磋商公告,BHDW2026-C2-0022-XKL项目编号：BHDW2026-C2-0022-XKL,2026年09月09日 15:54,北海市,自然资源部北海海洋中心,北海市西南大道612号,田工，0779-3218579,广西新凯林管理咨询有限公司,北海市站南路18-8号,陈工，0779-3213023,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296096.htm,2026-09-09 16:13:03,竞争性磋商采购方式：竞争性磋商,36.09369,table,,,,,,,,,,,,
中国电子学会世界机器人大赛报名服务平台建设项目竞争性磋商,竞争性磋商公告,TC26190EA,2026年09月09日 15:53,北京市,中国电子学会,北京市海淀区玉渊潭南路普惠南里13号,赵泊宁 010-68600679,中招国际招标有限公司,北京市海淀区学院南路62号院中关村资本大厦911A,赵寒雪、邓嘉莹、蒋雪娜010-61954123/62108043,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27296045.htm,2026-09-09 16:13:03,竞争性磋商,75.0,table,,,,,,,,,,,,
华南理工大学校园光纤系统和管网改造（二期）与弱电设备间维修工程竞争性磋商公告,竞争性磋商公告,SCUT-GC-20260015,2026年09月09日 15:52,天河区,华南理工大学,广州市天河区五山路381号,胡老师、刘老师、曾老师，020-87112959,广东华伦招标有限公司,广州市越秀区广仁路1号广仁大厦7楼,麦工，020-83172166-843,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295970.htm,2026-09-09 16:13:03,竞争性磋商,164.0,table,,,,,,,,,,,,
中央戏剧学院昌平校区安消一体化平台建设（第二次）竞争性磋商公告,竞争性磋商公告,ZTXY-2026-H270340,2026年09月09日 15:51,北京市,中央戏剧学院,北京市昌平区宏福中路4号,汤老师，010-56620616,中天信远国际招投标咨询(北京)有限公司,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1109室,王文姣、李响、张静、张鹏、王新力、车颖颖、李卓原、孙兴旺、周姗、成志凯、鲁智慧，010-53779915,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295973.htm,2026-09-09 16:13:03,竞争性磋商,35.6,table,,,,,,,,,,,,
中央戏剧学院票务系统（二期）竞争性磋商公告,竞争性磋商公告,ZTXY-2026-F220607,2026年09月09日 15:50,北京市,中央戏剧学院,北京市昌平区宏福中路4号,汤老师，010-56620616,中天信远国际招投标咨询(北京)有限公司,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1109室,王文姣、李响、张静、张鹏、王新力、车颖颖、李卓原、孙兴旺、周姗、成志凯、鲁智慧，010-53779915,,,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295986.htm,2026-09-09 16:13:03,竞争性磋商,20.0,table,,,,,,,,,,,,
北京研究院装修改造竞争性磋商公告,竞争性磋商公告,ZCXX2026029,2026年09月09日 15:50,深圳市,zycgr21071303,广东省深圳市南山区,0755-85902154,深圳交易集团有限公司政府采购业务分公司,深圳市南山区沙河西路3185号南山智谷A座深圳交易集团总部大楼27楼,郑工 0755-86673823,磋商文件领取登记表、法定代表人授权书.docx,"[{""attach_name"": ""磋商文件领取登记表、法定代表人授权书.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=83C9E126D2BD12B8491F7E1CF179B4""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxcs/./202609/t20260909_27295988.htm,2026-09-09 16:13:03,竞争性磋商,395.0,table,,,,,,,,,,,,
