notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
怒江边境管理支队2026年教育训练装备采购项目（二次）竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260909_27295639.htm,2026-09-09 15:33,云南,怒江边境管理支队（怒江州公安局边境管理支队）,竞争性谈判公告,竞争性谈判公告
中华人民共和国新疆出入境边防检查总站繁育种犬及待训警犬采购项目（二次）竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260909_27294376.htm,2026-09-09 13:07,新疆,中华人民共和国新疆出入境边防检查总站,竞争性谈判公告,竞争性谈判公告
炉管设备耗材、石英舟（二次）竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27291080.htm,2026-09-08 19:06,北京,zycgr22011902,竞争性谈判公告,竞争性谈判公告
氮化硅衬板竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27290898.htm,2026-09-08 18:54,北京,zycgr22011902,竞争性谈判公告,竞争性谈判公告
中华人民共和国深圳机场出入境边防检查站警员之家修缮项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27290274.htm,2026-09-08 18:00,广东,中华人民共和国深圳机场出入境边防检查站,竞争性谈判公告,竞争性谈判公告
福建省漳州台商投资区消防救援大队2026-2027年度宣传品供应商服务采购项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27289991.htm,2026-09-08 17:47,福建,漳州台商投资区消防救援大队,竞争性谈判公告,竞争性谈判公告
中国科学技术协会智能型积层式多功能密集柜采购项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27289087.htm,2026-09-08 17:12,北京,中国科学技术协会,竞争性谈判公告,竞争性谈判公告
文山边境管理支队2026年生活家具采购项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27288697.htm,2026-09-08 16:59,云南,中华人民共和国文山边境管理支队（文山州公安局边境管理支队）,竞争性谈判公告,竞争性谈判公告
中国疾病预防控制中心传染病预防控制所GPU服务器相关配件采购项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27286770.htm,2026-09-08 15:41,北京,中国疾病预防控制中心传染病预防控制所,竞争性谈判公告,竞争性谈判公告
北京中医药大学东直门医院《基层非中医类别医师“西学中”专题培训》第三方实施服务项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27286140.htm,2026-09-08 15:04,北京,北京中医药大学东直门医院,竞争性谈判公告,竞争性谈判公告
盘锦市大洼区气象局2026年大洼区应急指挥平台升级项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27285889.htm,2026-09-08 14:40,辽宁,盘锦市大洼区气象局,竞争性谈判公告,竞争性谈判公告
重庆出入境边防检查总站执法执勤装备购置（26WA0086）竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27284690.htm,2026-09-08 11:28,重庆,中华人民共和国重庆出入境边防检查总站,竞争性谈判公告,竞争性谈判公告
国家体育总局手曲棒垒球运动管理中心国家女子垒球队训练器材采购竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260907_27282576.htm,2026-09-07 19:47,北京,国家体育总局手曲棒垒球运动管理中心,竞争性谈判公告,竞争性谈判公告
中华人民共和国山东出入境边防检查总站轮训大队车棚建设项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260907_27282360.htm,2026-09-07 19:00,山东,中华人民共和国山东出入境边防检查总站,竞争性谈判公告,竞争性谈判公告
哈密边境管理支队二红山边境派出所电锅炉采购项目竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260907_27281951.htm,2026-09-07 18:19,新疆,哈密边境管理支队,竞争性谈判公告,竞争性谈判公告
国家体育总局手曲棒垒球运动管理中心训练器材采购竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260907_27280795.htm,2026-09-07 17:13,北京,国家体育总局手曲棒垒球运动管理中心,竞争性谈判公告,竞争性谈判公告
长江三峡通航管理局仙人桥基地护坡应急修缮施工竞争性谈判公告,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260907_27280002.htm,2026-09-07 16:46,湖北,长江三峡通航管理局,竞争性谈判公告,竞争性谈判公告
