notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
怒江边境管理支队2026年教育训练装备采购项目（二次）竞争性谈判公告,竞争性谈判公告,WH-533300-2026-0014-0102,2026年09月09日 15:33,云南省,怒江边境管理支队（怒江州公安局边境管理支队）,怒江傈僳族自治州泸水市六库街道八一路128号,闫警官0886-3615148,旺和招标咨询有限公司,怒江州泸水市大练地街道泸水碧桂园1期1栋1-17,黎霞辐、杨艳芬,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260909_27295639.htm,2026-09-09 16:18:18,竞争性谈判,33.74,table,,,,,,,,,,,,
中华人民共和国新疆出入境边防检查总站繁育种犬及待训警犬采购项目（二次）竞争性谈判公告,竞争性谈判公告,hcxjczt-2026-547,2026年09月09日 13:07,新疆维吾尔自治区,中华人民共和国新疆出入境边防检查总站,新疆乌鲁木齐市天山区团结路1551号,王警官/0991-8512158,华春建设工程项目管理有限责任公司,新疆乌鲁木齐市水磨沟区浙商大厦15楼1505室,孔伟国、0991-2629781、17590034636,采购需求.docx,"[{""attach_name"": ""采购需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=04ED8F55C79002EA2B9F1461444266""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260909_27294376.htm,2026-09-09 16:18:18,竞争性谈判,48.0,table,,,,,,,,,,,,
炉管设备耗材、石英舟（二次）竞争性谈判公告,竞争性谈判公告,ZGGJ-BJ04-26081636/SiC2026032,2026年09月08日 19:06,北京市,zycgr22011902,/,杨老师 010-57305334,中工国际招标有限公司,北京市朝阳区慧忠路5号远大中心C座2层203,王宇婷、王欣、康进、张跃   010-82952950-814,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27291080.htm,2026-09-09 16:18:18,竞争性谈判,65.0,table,,,,,,,,,,,,
氮化硅衬板竞争性谈判公告,竞争性谈判公告,ZGGJ-BJ04-26091692/SIC2026045,2026年09月08日 18:54,北京市,zycgr22011902,/,杨老师 010-57305334,中工国际招标有限公司,北京市朝阳区慧忠路5号远大中心C座2层203,王宇婷、王欣、康进、张跃   010-82952950-814,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27290898.htm,2026-09-09 16:18:18,竞争性谈判,55.0,table,,,,,,,,,,,,
中华人民共和国深圳机场出入境边防检查站警员之家修缮项目竞争性谈判公告,竞争性谈判公告,GXSZ-20260277BAJZ,2026年09月08日 18:00,深圳市,中华人民共和国深圳机场出入境边防检查站,深圳市罗湖区人民南路1006号,苏警官0755-84498264,深圳高星项目管理有限公司,深圳市福田区泰然九路天地源盛唐大厦东座1403,郑工0755-88918226,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27290274.htm,2026-09-09 16:18:18,竞争性谈判,25.011765,table,,,,,,,,,,,,
福建省漳州台商投资区消防救援大队2026-2027年度宣传品供应商服务采购项目竞争性谈判公告,竞争性谈判公告,ZZHH采购20260805,2026年09月08日 17:47,漳州市,漳州台商投资区消防救援大队,漳州台商投资区中闽大道33号,张先生 联系电话：17606066427,福建互华土木工程管理有限公司,漳州市龙文区明发广场1号楼1711-1716号,小欧 联系电话：0596-2933815,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27289991.htm,2026-09-09 16:18:18,竞争性谈判,80.201,table,,,,,,,,,,,,
中国科学技术协会智能型积层式多功能密集柜采购项目竞争性谈判公告,竞争性谈判公告,ZZGJ20260164,2026年09月08日 17:12,市辖区,中国科学技术协会,北京市海淀区复兴路3号,赵老师 010-68571878,中招政采（北京）咨询有限公司,北京市海淀区中关村南大街18号北京国际大厦C座1106室,刘倩倩、魏磊、仝丽东、姚紫珺、刘佳通、冯宇森、普晶、刘宇晴 010-63966992,购买文件登记表及付款账户信息.docx,"[{""attach_name"": ""购买文件登记表及付款账户信息.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=993F0C971B71590FF03E98F73F31BE""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27289087.htm,2026-09-09 16:18:18,竞争性谈判,134.89,table,,,,,,,,,,,,
文山边境管理支队2026年生活家具采购项目竞争性谈判公告,竞争性谈判公告,YNZH-HW-WSBJ-260126,2026年09月08日 16:59,文山壮族苗族自治州,中华人民共和国文山边境管理支队（文山州公安局边境管理支队）,云南省文山壮族苗族自治州文山市华龙南路16号,陈警官 0876-2845056,云南自厚建设项目管理有限公司,云南省昆明市西山区西福路87号,冯连、董洪斌、王小强、陆红梅、李芳、陆志翔/0871-65518886,文山边境管理支队2026年生活家具采购项目（发售稿）.docx,"[{""attach_name"": ""文山边境管理支队2026年生活家具采购项目（发售稿）.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=75813369F3E9F02675DB95575D5E50""}]",https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27288697.htm,2026-09-09 16:18:18,竞争性谈判,52.864,table,,,,,,,,,,,,
中国疾病预防控制中心传染病预防控制所GPU服务器相关配件采购项目竞争性谈判公告,竞争性谈判公告,0722-26FE4084ZB3,2026年09月08日 15:41,北京市,中国疾病预防控制中心传染病预防控制所,北京市昌平区昌百路155号,焦振得 李丹、010-58900734 58900725,中国远东国际招标有限公司,北京市朝阳区和平街东土城路甲9号10层,范思迪、刁振楠、高冬冬、梅豫家，64234102,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27286770.htm,2026-09-09 16:18:18,竞争性谈判,50.0,table,,,,,,,,,,,,
北京中医药大学东直门医院《基层非中医类别医师“西学中”专题培训》第三方实施服务项目竞争性谈判公告,竞争性谈判公告,B0708-CMC26N7344,2026年09月08日 15:04,北京市,北京中医药大学东直门医院,北京市东城区海运仓5号,魏老师 010-84013265,中国机械进出口(集团)有限公司,北京市丰台区金泽东路通用时代中心C座,郭女士、张女士、刘先生   电话：010-81168212 邮箱：guochangqian@cmc.gt.cn,,,https://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/./202609/t20260908_27286140.htm,2026-09-09 16:18:18,竞争性谈判,85.0,table,,,,,,,,,,,,
