notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
中国人民银行新疆维吾尔自治区分行消防系统气体钢瓶定期检验项目（二次）废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295892.htm,2026-09-09 15:46,新疆,中国人民银行新疆维吾尔自治区分行,废标公告,废标公告
国家税务总局甘肃省税务局甘肃税务2026年西关数据处理中心和华瑞大厦及静宁路办公区机房基础运维服务项目第二次废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295627.htm,2026-09-09 15:33,甘肃,国家税务总局甘肃省税务局,二次废标公告,二次废标公告
北京市西城区消防救援支队2026年生活用品购置中标候选人公示,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295507.htm,2026-09-09 15:27,北京,西城区消防救援支队,,未知公告
北京中医药大学东直门医院国家中医药传承创新中心建设项目（第十一批）设备采购公告第三包废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295513.htm,2026-09-09 15:27,北京,北京中医药大学东直门医院,三包废标公告,三包废标公告
北京林业大学医院2026年度检验科试剂与耗材采购项目比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295505.htm,2026-09-09 15:26,北京,北京林业大学,项目比选公告,项目比选公告
四川省泸州市古蔺县消防救援大队应急装备遮护顶棚采购项目其他,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295336.htm,2026-09-09 15:19,四川,古蔺县消防救援大队,,未知公告
昆山海关综合技术服务中心食堂服务合同公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295332.htm,2026-09-09 15:18,江苏,昆山海关综合技术服务中心,服务合同公告,服务合同公告
昆山海关综合技术服务中心制服清洗服务合同公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295329.htm,2026-09-09 15:18,江苏,昆山海关综合技术服务中心,服务合同公告,服务合同公告
山东大学大型GPU深度学习服务器采购流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295301.htm,2026-09-09 15:17,山东,山东大学,流标公告,流标公告
暨南大学苏州苑41栋功能楼办公家具采购（项目编号：0835-260F36204581）询比公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295267.htm,2026-09-09 15:14,广东,暨南大学,询比公告,询比公告
宁德市消防救援支队室内改造工程采购合同公示,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295133.htm,2026-09-09 15:08,福建,宁德市消防救援支队,,未知公告
中华人民共和国珠海出入境边防检查总站2026年机关所属物业日常用品采购项目（第2次）简易采购公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295716.htm,2026-09-09 15:06,广东,中华人民共和国珠海出入境边防检查总站,简易采购公告,简易采购公告
中央广播电视总台2024年调频发射系统更新改造（五）增补采购废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295080.htm,2026-09-09 15:03,北京,中央广播电视总台,采购废标公告,采购废标公告
宁夏回族自治区消防救援总队全区消防信息网适配改造项目第二标段废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295053.htm,2026-09-09 15:00,宁夏,宁夏自治区消防救援总队,标段废标公告,标段废标公告
习水县消防救援大队2026年灭火救援装备采购项目需求公示,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295030.htm,2026-09-09 14:59,贵州,习水县消防救援大队,,未知公告
崇明区消防救援支队队史馆建设项目比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295013.htm,2026-09-09 14:56,上海,崇明区消防救援支队,项目比选公告,项目比选公告
北京市西城区消防救援支队2026年小型消防站设施设备更新购置比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295001.htm,2026-09-09 14:54,北京,西城区消防救援支队,购置比选公告,购置比选公告
四川省眉山市东坡区消防救援大队无人机机场采购项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294945.htm,2026-09-09 14:50,四川,眉山市东坡区消防救援大队,项目废标公告,项目废标公告
东北林业大学林草创新测试服务平台设备更新项目-双向拉伸成膜机等（三次）流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294900.htm,2026-09-09 14:47,黑龙江,东北林业大学,流标公告,流标公告
四川省凉山州冕宁县消防救援大队2026年度招标代理机构公开遴选项目遴选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294861.htm,2026-09-09 14:42,四川,冕宁县消防救援大队,项目遴选公告,项目遴选公告
中国疾病预防控制中心传染病预防控制所细菌流式分选委托服务采购项目其他,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294799.htm,2026-09-09 14:36,北京,中国疾病预防控制中心传染病预防控制所,,未知公告
国家粮食和物资储备局北京局六五四工程筹建处某工程安全阀校验征集公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294729.htm,2026-09-09 14:30,天津,国家粮食和物资储备局北京局六五四工程筹建处,校验征集公告,校验征集公告
国家粮食和物资储备局北京局六五四工程筹建处某工程环境监测及竣工环保验收技术服务征集公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294710.htm,2026-09-09 14:29,天津,国家粮食和物资储备局北京局六五四工程筹建处,服务征集公告,服务征集公告
国家粮食和物资储备局北京局六五四工程筹建处某工程防爆查库车采购项目征集公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294707.htm,2026-09-09 14:28,天津,国家粮食和物资储备局北京局六五四工程筹建处,项目征集公告,项目征集公告
中央财经大学自助咖啡机服务引入项目比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294678.htm,2026-09-09 14:24,北京,中央财经大学,项目比选公告,项目比选公告
