notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
中国人民银行新疆维吾尔自治区分行消防系统气体钢瓶定期检验项目（二次）废标公告,流标公告,0724-2631XJ765425,2026年09月09日 15:46,新疆维吾尔自治区,中国人民银行新疆维吾尔自治区分行,乌鲁木齐市天山区人民路395号,冉赤军0991-2373268,国义招标股份有限公司,乌鲁木齐市水磨沟区红光山路888号绿城广场1B栋35楼3504室,钟晓涵、周鑫0991-4664267、13009638607,,,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295892.htm,2026-09-09 16:10:41,,,,经谈判小组评审，本项目通过资格性审查的供应商不足3家，按废标处理。,,,,,,,,,,,
国家税务总局甘肃省税务局甘肃税务2026年西关数据处理中心和华瑞大厦及静宁路办公区机房基础运维服务项目第二次废标公告,流标公告,GS2026-DLGK-C0010-B004,2026年09月09日 15:33,城关区,国家税务总局甘肃省税务局,兰州市城关区金昌南路353号,苏老师（商务）0931-8533780 、白老师（技术）0931-8823353,甘肃普星工程咨询有限公司,兰州市安宁区鼎泰中汇广场写字楼12楼1205室,寇继宏 18215162427 2733605037@qq.com,,,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295627.htm,2026-09-09 16:10:41,,,,有效投标人不足三家，按照废标处理。,,,,,,,,,,,
北京市西城区消防救援支队2026年生活用品购置中标候选人公示,流标公告,HT3841BJ-BA01,2026年09月09日 15:27,北京市,西城区消防救援支队,北京市西城区德胜门东大街119号,刘队长01084022119，转215,北京汉腾工程顾问有限公司,北京市石景山区古城南里东街33号院1号楼5层501-01,杨工 13381120993,,,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295507.htm,2026-09-09 16:10:41,,,,无,,,,,,,,,,,
北京中医药大学东直门医院国家中医药传承创新中心建设项目（第十一批）设备采购公告第三包废标公告,流标公告,B0708-CMC26N7343,2026年09月09日 15:27,北京市,北京中医药大学东直门医院,北京市东城区海运仓5号,武老师 电话：010-84013273,中国机械进出口(集团)有限公司,北京市丰台区金泽东路通用时代中心C座,郭女士，张女士，刘先生  电话：010-81168212  电子邮箱：guochangqian@cmc.gt.cn,,,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295513.htm,2026-09-09 16:10:41,,,,因至递交文件截止时间，递交投标文件的投标人不足三家，该包废标。,,,,,,,,,,,
北京林业大学医院2026年度检验科试剂与耗材采购项目比选公告,流标公告,,2026年09月09日 15:26,北京市,北京林业大学,北京市海淀区清华东路35号,张老师、刘老师 010-62337427,中盛隆国际招标（北京）有限公司,北京市海淀区阜成路58号新洲商务大厦302室,曹泽鹏、马春娟、李蕊、孙源滨、魏菲、赵中阳、刘震、李红梅、李莉010-88956517-202,文件获取记录.docx,"[{""attach_name"": ""文件获取记录.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=726DAC4C3E16B27FA76BF4799224E2""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295505.htm,2026-09-09 16:10:41,校内比选,85.0,,,,,,,,,,,,,
四川省泸州市古蔺县消防救援大队应急装备遮护顶棚采购项目其他,流标公告,SCDCH[2026]037,2026年09月09日 15:19,古蔺县,古蔺县消防救援大队,四川省泸州市古蔺县彰德街道蔺阳大道112号,潘先生0830-7205301,四川德才汇招标代理有限公司,泸州市龙马潭区云台路69号（城北公交枢纽站底楼）,陈先生0830-3198806,"采购需求.docx,报名信息登记表.doc","[{""attach_name"": ""采购需求.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=C05AE05AB883D5B989038DA3327265""}, {""attach_name"": ""报名信息登记表.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=E62EAFC2345481FCDEECBA70B90E99""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295336.htm,2026-09-09 16:10:41,,23.94,,,,,,,,,,,,,
昆山海关综合技术服务中心食堂服务合同公告,流标公告,SZDX2026-A-G-007,2026年09月09日 15:18,昆山市,昆山海关综合技术服务中心,昆山市新南东路318、328号,姚文斌:0512-66085135,鼎信工程咨询（苏州）有限公司,苏州市吴中区城南街道南都广场1607,陈倩倩:0512-66233886,（合同）SZDX2026-A-G-007-食堂服务.pdf,"[{""attach_name"": ""（合同）SZDX2026-A-G-007-食堂服务.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=0016D991B7FD4B598A5AA77357BD7B""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295332.htm,2026-09-09 16:10:41,,,,无,,,,,,,,,,,
昆山海关综合技术服务中心制服清洗服务合同公告,流标公告,SZDX2026-A-C-038,2026年09月09日 15:18,昆山市,昆山海关综合技术服务中心,昆山市新南东路318、328号,张数津：0512-66085978,鼎信工程咨询（苏州）有限公司,苏州市吴中区城南街道南都广场1607,陈倩倩：0512-66233886,（合同）-SZDX2026-A-C-038制服清洗服务.pdf,"[{""attach_name"": ""（合同）-SZDX2026-A-C-038制服清洗服务.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=B2E7115F9609FAB766FC0B519934B3""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295329.htm,2026-09-09 16:10:42,,,,无,,,,,,,,,,,
山东大学大型GPU深度学习服务器采购流标公告,流标公告,SDJDHD20260198-Z042 /SDDX-SDLC-GK-2026005,2026年09月09日 15:17,济南市,山东大学,山东大学中心校区明德楼,0531-88365560,山东省鲁成招标有限公司,济南市经十东路10567号成城大厦A座,刘嘉华、王青东,20260812山东大学大型GPU深度学习服务器采购电子招标文件（定稿）.pdf,"[{""attach_name"": ""20260812山东大学大型GPU深度学习服务器采购电子招标文件（定稿）.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=62A09229158C198382490F64F95CB7""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295301.htm,2026-09-09 16:10:42,,,,投标文件递交截止时间时，投标人数量不足3家，予以废标。,,,,,,,,,,,
暨南大学苏州苑41栋功能楼办公家具采购（项目编号：0835-260F36204581）询比公告,流标公告,0835-260F36204581,2026年09月09日 15:14,广州市,暨南大学,广州市黄埔大道西601号,涂老师020-85220458,广东元正招标采购有限公司,广州市越秀区先烈中路102号华盛大厦北塔26楼,黄小姐、刘小姐 020-87258495-305、307、301,F04581-暨南大学苏州苑41栋功能楼办公家具采购-正稿.pdf,"[{""attach_name"": ""F04581-暨南大学苏州苑41栋功能楼办公家具采购-正稿.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6DC7EA2190CEEC6D08BD34862D7C78""}]",https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27295267.htm,2026-09-09 16:10:42,,53.0,,,,,,,,,,,,,
