notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
会议系统升级设备购置项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260909_27292813.htm,2026-09-09 09:26,北京,SPD-01,询价公告,询价公告
生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心)计算机网络设备(询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27290240.htm,2026-09-08 17:55,北京,生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心),项目需求公告,项目需求公告
中央美术学院视频会议系统及会议室音频系统（询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27290267.htm,2026-09-08 17:55,河北,中央美术学院,项目需求公告,项目需求公告
中国测绘科学研究院工作站及移动工作站询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27288386.htm,2026-09-08 16:48,北京,中国测绘科学研究院,询价公告,询价公告
中国测绘科学研究院硬盘询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27284459.htm,2026-09-08 11:08,北京,中国测绘科学研究院,询价公告,询价公告
中国疾病预防控制中心营养与健康所二期工程窗帘采购项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27284059.htm,2026-09-08 09:57,北京,中国疾病预防控制中心营养与健康所,询价公告,询价公告
公安部大数据中心2025式被装（第二批）采购项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27282151.htm,2026-09-07 18:35,北京,公安部大数据中心,询价公告,询价公告
阿克苏边境管理支队办公家具采购项目（二次）询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27281452.htm,2026-09-07 17:50,新疆,阿克苏边境管理支队,询价公告,询价公告
内蒙古出入境边防检查总站巴彦淖尔边境管理支队电锅炉采购项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27281378.htm,2026-09-07 17:44,内蒙古,巴彦淖尔边境管理支队,询价公告,询价公告
博兴县消防救援大队2026年中秋节工会慰问品采购项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27280812.htm,2026-09-07 17:18,山东,博兴县消防救援大队,询价公告,询价公告
德州市消防救援支队会议室LED大屏采购项目询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27280489.htm,2026-09-07 17:04,山东,德州市消防救援支队,询价公告,询价公告
安徽省某单位工会员工2026年度中秋节慰问礼包采购项目询价公告询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27280000.htm,2026-09-07 16:47,安徽,SPD-23,询价公告,询价公告
三明海关综合技术服务中心2026年纯水机设备采购项目（二次）询价公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27276890.htm,2026-09-07 11:43,福建,三明海关综合技术服务中心,询价公告,询价公告
国家体育总局训练局空调机及配件（询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275983.htm,2026-09-07 10:00,北京,国家体育总局训练局,项目需求公告,项目需求公告
LSLAB复印机及配件（询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275982.htm,2026-09-07 10:00,山东,采购人LSLAB,项目需求公告,项目需求公告
工业和信息化部电子第五研究所服务器（询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275970.htm,2026-09-07 10:00,广东,工业和信息化部电子第五研究所,项目需求公告,项目需求公告
国家金融监督管理总局黄南监管分局计算机网络设备(询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275979.htm,2026-09-07 10:00,青海,国家金融监督管理总局黄南监管分局,项目需求公告,项目需求公告
中华人民共和国内蒙古出入境边防检查总站计算机网络设备(询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275978.htm,2026-09-07 10:00,内蒙古,中华人民共和国内蒙古出入境边防检查总站,项目需求公告,项目需求公告
国家金融监督管理总局黄南监管分局视频会议系统及会议室音频系统（询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275977.htm,2026-09-07 10:00,青海,国家金融监督管理总局黄南监管分局,项目需求公告,项目需求公告
青岛市气象综合保障中心（青岛市气象数据中心）计算机网络设备(询价）采购项目需求公告,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27275968.htm,2026-09-07 10:00,山东,青岛市气象综合保障中心（青岛市气象数据中心）,项目需求公告,项目需求公告
