notice_title,notice_type,project_code,publish_time,admin_region,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,attach_file_names,attach_json,notice_url,crawl_time,purchase_method,budget,budget_source,terminate_reason,change_item,win_total_amount,judge_experts,agent_service_fee,win_supplier,proposed_supplier,single_source_reason,publicity_period,open_bid_time,contact_name,contact_tel
会议系统升级设备购置项目询价公告,询价公告,,2026年09月09日 09:26,北京市,SPD-01,西城区后英房胡同9号,宋老师 55538715,详见公告正文,详见公告正文,详见公告正文,会议系统升级设备购置项目（发售版）.doc,"[{""attach_name"": ""会议系统升级设备购置项目（发售版）.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=1E0A0F2AFFE142BBA5D6F35A099A96""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260909_27292813.htm,2026-09-09 16:21:06,,18.78,table,,,,,,,,,,,宋老师,55538715
生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心)计算机网络设备(询价）采购项目需求公告,项目需求公告,,2026年09月08日 17:55,北京市,生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心),北京市房山区知兴东路9号,010-82205748,中央国家机关政府采购中心,北京市西城区西直门内大街西章胡同9号院,详见http://www.zycg.gov.cn/home/contactus,DZXJ260819210180520生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心)计算机网络设备(询价）采购项目电子询价通知书.pdf,"[{""attach_name"": ""DZXJ260819210180520生态环境部核与辐射安全中心(生态环境部核安全设备监管技术中心)计算机网络设备(询价）采购项目电子询价通知书.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=96811e58-be3f-4fb0-8aaa-85d540""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27290240.htm,2026-09-09 16:21:07,,44.74,table,,,,,,,,,,,科计处，杨凯红,010-82205748
中央美术学院视频会议系统及会议室音频系统（询价）采购项目需求公告,项目需求公告,,2026年09月08日 17:55,河北省,中央美术学院,花家地南街8号,64771908,中央国家机关政府采购中心,北京市西城区西直门内大街西章胡同9号院,详见http://www.zycg.gov.cn/home/contactus,DZXJ260626810075320中央美术学院视频会议系统及会议室音频系统（询价）采购项目电子询价通知书.pdf,"[{""attach_name"": ""DZXJ260626810075320中央美术学院视频会议系统及会议室音频系统（询价）采购项目电子询价通知书.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=ea9a4bdc-3164-408e-9f9b-7221d0""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27290267.htm,2026-09-09 16:21:07,,20.6438,table,,,,,,,,,,,张子木,64771908
中国测绘科学研究院工作站及移动工作站询价公告,询价公告,2026-XJ-21,2026年09月08日 16:48,海淀区,中国测绘科学研究院,北京市海淀区莲花池西路28号,史老师，010-63880913,详见公告正文,详见公告正文,详见公告正文,采购询价表 -台式+移动工作站.xlsx,"[{""attach_name"": ""采购询价表 -台式+移动工作站.xlsx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=30708515E12B4B2C57A0638F68F363""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27288386.htm,2026-09-09 16:21:07,,26.2,table,,,,,,,,,,,朱老师,010-63880565
中国测绘科学研究院硬盘询价公告,询价公告,2026-XJ-20,2026年09月08日 11:08,海淀区,中国测绘科学研究院,北京市海淀区莲花池西路28号,史老师，010-63880913,详见公告正文,详见公告正文,详见公告正文,采购询价表(9.8).xlsx,"[{""attach_name"": ""采购询价表(9.8).xlsx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=6BC0D1163D4A8CB9211A45CE43BA99""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27284459.htm,2026-09-09 16:21:07,,5.0,table,,,,,,,,,,,康老师,13581726079
中国疾病预防控制中心营养与健康所二期工程窗帘采购项目询价公告,询价公告,2026XJ-14,2026年09月08日 09:57,北京市,中国疾病预防控制中心营养与健康所,北京市西城区南纬路27号,赵耀 13651030480,详见公告正文,详见公告正文,详见公告正文,公告.docx,"[{""attach_name"": ""公告.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=A22B3A2F42FE7C760130E07E320777""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260908_27284059.htm,2026-09-09 16:21:07,,48.38,table,,,,,,,,,,,赵耀,13651030480
公安部大数据中心2025式被装（第二批）采购项目询价公告,询价公告,,2026年09月07日 18:35,大兴区,公安部大数据中心,北京市大兴区博兴二路5号院,张老师 010-66272111,公安部警用装备采购中心,上海市闵行区三达路299号,联系代表021-33292999,JC-HX20260268公安部大数据中心2025式被装（第二批）采购项目-202609041057571185.doc,"[{""attach_name"": ""JC-HX20260268公安部大数据中心2025式被装（第二批）采购项目-202609041057571185.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=25b21084-b27f-4452-bb12-3cb910""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27282151.htm,2026-09-09 16:21:07,,11.04771,table,,,,,,,,,,,张雅嫚,010-66272111
阿克苏边境管理支队办公家具采购项目（二次）询价公告,询价公告,AKSCG-2026-009-01,2026年09月07日 17:50,阿克苏市,阿克苏边境管理支队,阿克苏市兰干街道兰干社区复兴大道东一巷4号,0997-2192253,新疆华远建设工程项目管理有限公司,新疆阿克苏地区阿克苏市御城大厦 A 座七楼,祁刚刚18999070859,,,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27281452.htm,2026-09-09 16:21:07,,31.59,table,,,,,,,,,,,祁刚刚,18999070859
内蒙古出入境边防检查总站巴彦淖尔边境管理支队电锅炉采购项目询价公告,询价公告,BBZDXJ—2026—001,2026年09月07日 17:44,市辖区,巴彦淖尔边境管理支队,巴彦淖尔市临河区汇丰街12号,付警官0478-8218833转503,内蒙古锦辰项目管理有限责任公司,巴彦淖尔市临河区开源北路2号巴彦淖尔电商物流园区电商1号楼305室,张辰 18547849665,"（边境管理支队）询价邀请.doc,（边境管理支队）询价邀请.doc","[{""attach_name"": ""（边境管理支队）询价邀请.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=0ECC5D2A4150CFBCE6A636611D9B0F""}, {""attach_name"": ""（边境管理支队）询价邀请.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=422AAA78FF8C7B56B7A1B0AD822FC1""}]",https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27281378.htm,2026-09-09 16:21:07,,53.2968,table,,,,,,,,,,,付警官,0478-8218833转503
博兴县消防救援大队2026年中秋节工会慰问品采购项目询价公告,询价公告,BZHR-2026-0097,2026年09月07日 17:18,博兴县,博兴县消防救援大队,山东省滨州市博兴县博城二路137号,王队长、0543-8616723,滨州恒润项目管理有限公司,滨州市黄河三路与西外环交叉口往西150米路南,李玉民、0543-2112788,,,https://www.ccgp.gov.cn/cggg/zygg/xjgg/./202609/t20260907_27280812.htm,2026-09-09 16:21:07,,0.0,table,,,,,,,,,,,李玉民,0543-2112788
