notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
2026-2029上海财经大学高层次人才医疗保健服务项目中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294508.htm,2026-09-09 13:53,上海,上海财经大学,中标公告,中标公告
北京中医药大学良乡校区中药学院基础与药物生物评价实践教学平台建设(二期）采购项目中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294503.htm,2026-09-09 13:51,北京,北京中医药大学,中标公告,中标公告
北京大学第一医院2026年诊疗能力提升项目放射治疗科后装治疗机采购项目中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294501.htm,2026-09-09 13:50,北京,北京大学第一医院,中标公告,中标公告
哈尔滨工业大学英俄文网站运营以及海外社交媒体平台运营、推广服务中标结果公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294457.htm,2026-09-09 13:38,黑龙江,哈尔滨工业大学,中标结果公告,中标结果公告
中央戏剧学院东城校区房屋维修和基础设施改造项目之工程检测服务（二次）中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294448.htm,2026-09-09 13:37,北京,中央戏剧学院,中标公告,中标公告
国家税务总局重庆市税务局2026年计算存储类设备维修保养中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294372.htm,2026-09-09 13:05,重庆,国家税务总局重庆市税务局,中标公告,中标公告
国家税务总局重庆市税务局2026年税收大数据平台运维和数据加工服务（26WC0173）中标(成交）结果公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294373.htm,2026-09-09 13:04,重庆,国家税务总局重庆市税务局,结果公告,结果公告
故宫博物院2026-2029年度热力站值班服务及管线巡查项目中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294368.htm,2026-09-09 13:03,北京,故宫博物院,中标公告,中标公告
湖南省气象台极端灾害性天气短临预警能力提升工程(长株潭城市群500米分辨率短临数值预报分系统)中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294344.htm,2026-09-09 12:55,湖南,湖南省气象台,中标公告,中标公告
中南大学新校区学生宿舍一期、二期项目智能化工程中标候选人公示,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294340.htm,2026-09-09 12:54,湖南,中南大学,,未知公告
工业和信息化部新能源汽车产品质量和一致性监督检查中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294248.htm,2026-09-09 12:31,北京,工业和信息化部,中标公告,中标公告
工业和信息化部传统汽车生产一致性专项监督检查中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294250.htm,2026-09-09 12:30,北京,工业和信息化部,中标公告,中标公告
吉林大学部分建筑增加火灾自动报警系统工程项目二标段（第二次）中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294140.htm,2026-09-09 12:08,吉林,吉林大学,中标公告,中标公告
