admin_region,agent_address,agent_contact,agent_name,agent_service_fee,attach_file_names,attach_json,budget,budget_source,buyer_address,buyer_contact,buyer_name,change_item,contact_name,contact_tel,crawl_time,judge_experts,notice_title,notice_type,notice_url,open_bid_time,project_code,proposed_supplier,publicity_period,publish_time,purchase_method,single_source_reason,terminate_reason,win_supplier,win_total_amount
杨浦区,上海市延安西路358号美丽园大厦14楼,张胤翀、陈喆仡021-32173637,上海国际招标有限公司,,财大26-29高层次人才医疗保健-招标文件.pdf,"[{""attach_name"": ""财大26-29高层次人才医疗保健-招标文件.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=EDE52E9A38134D9379B30E7578DCB3""}]",,,上海市杨浦区国定路777号,李老师021-65904549,上海财经大学,,,,2026-09-09 15:21:47,项丹红、张宁、许梅珍、宁仁利、张永铃,2026-2029上海财经大学高层次人才医疗保健服务项目中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294508.htm,,,,,2026年09月09日 13:53,,,,,110.28
北京市,北京市海淀区学院南路62号中关村资本大厦,侯东艳、张涵睿、蒋雪娜、陈思佳、邓嘉莹，010-61954119、61954120,中招国际招标有限公司,,"关于符合本国产品标准的声明函.pdf,公开招标文件发售稿-北京中医药大学良乡校区中药学院基础与药物生物评价实践教学平台建设(二期）采购项目.pdf,关于符合本国产品标准的成本占比承诺函.pdf","[{""attach_name"": ""关于符合本国产品标准的声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=33487DB5D76EFA85859A84028BD054""}, {""attach_name"": ""公开招标文件发售稿-北京中医药大学良乡校区中药学院基础与药物生物评价实践教学平台建设(二期）采购项目.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=EBBB3932046F07B51609A766F8B83D""}, {""attach_name"": ""关于符合本国产品标准的成本占比承诺函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=4B2D5E7930C753AF6769C120F4332B""}]",,,北京市朝阳区北三环东路11号,赵老师，010-53911758,北京中医药大学,,,,2026-09-09 15:21:47,孟伟、赵锋、李雪红、吉国凡、张莉（采购人代表）,北京中医药大学良乡校区中药学院基础与药物生物评价实践教学平台建设(二期）采购项目中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294503.htm,,,,,2026年09月09日 13:51,,,,,163.5
北京市,北京市丰台区金泽东路通用时代中心C座,张曌明  电话：010-81168235，81168212 电子邮箱：guochangqian@cmc.gt.cn,中国机械进出口(集团)有限公司,,8.19 26N7619 北京大学第一医院2026年诊疗能力提升项目放射治疗科后装治疗机采购项目 招标文件.pdf,"[{""attach_name"": ""8.19 26N7619 北京大学第一医院2026年诊疗能力提升项目放射治疗科后装治疗机采购项目 招标文件.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=2495A82FFEC6DEF17B41BF4151A2FF""}]",,,北京市西城区西什库大街8号,010-83576445,北京大学第一医院,,,,2026-09-09 15:21:48,杨会敏、杨燕佳、郑淑荣、田丽丽、王庆安,北京大学第一医院2026年诊疗能力提升项目放射治疗科后装治疗机采购项目中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294501.htm,,,,,2026年09月09日 13:50,,,,,628.7
南岗区,黑龙江省哈尔滨市群力新区丽江路3936号银泰城写字楼27层,刘女士18946185481,忱义工程项目管理有限公司,,HITZB-2026000059-哈尔滨工业大学英俄文网站运营以及海外社交媒体平台运营、推广服务-招标文件8.13定稿.pdf,"[{""attach_name"": ""HITZB-2026000059-哈尔滨工业大学英俄文网站运营以及海外社交媒体平台运营、推广服务-招标文件8.13定稿.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=E55E046CA94D9BE5E37C2417489947""}]",,,哈尔滨市南岗区西大直街92号,0451-86417955,哈尔滨工业大学,,,,2026-09-09 15:21:48,慕国华、宁晓磊、彭钢、王洪刚、于歆（采购人代表）,哈尔滨工业大学英俄文网站运营以及海外社交媒体平台运营、推广服务中标结果公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294457.htm,,,,,2026年09月09日 13:38,,,,,125.8175
北京市,北京市丰台区广安路9号国投财富广场6号楼1601室,贾东敏、谭仕宝、姚冲、崔丽洁、刘金秀 18612287813/18612287807,华采招标集团有限公司,,"奥来国信（北京）检测技术有限责任公司-中小企业声明函.pdf,ZB0969【招标文件-发售版】中央戏剧学院东城校区房屋维修和基础设施改造项目之工程检测服务（二次）.pdf","[{""attach_name"": ""奥来国信（北京）检测技术有限责任公司-中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=D0F860F79B22295D5AF478B9A0B6EE""}, {""attach_name"": ""ZB0969【招标文件-发售版】中央戏剧学院东城校区房屋维修和基础设施改造项目之工程检测服务（二次）.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=EB70B4FCE7F894E03D7C65CF810459""}]",,,北京市昌平区宏福中路4号,马老师，010-56620349,中央戏剧学院,,,,2026-09-09 15:21:48,张海君、李茹、王静、忻展华、姚学堂,中央戏剧学院东城校区房屋维修和基础设施改造项目之工程检测服务（二次）中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294448.htm,,,,,2026年09月09日 13:37,,,,,0.0
重庆市,重庆市两江新区五简路2号重庆咨询大厦B座503室,周建行 谢沛诘 023-67954029 67707022,重庆市政府采购中心,,《中小企业声明函》.jpg,"[{""attach_name"": ""《中小企业声明函》.jpg"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=96B639B2C95C3E57E106BA87FCBC48""}]",,,重庆市两江新区西湖路9号,刘老师 傅老师 023-67572283 63055213,国家税务总局重庆市税务局,,,,2026-09-09 15:21:48,王显科、徐露瑶、朱青青、肖玉秋、傅俊松（采购人代表）,国家税务总局重庆市税务局2026年计算存储类设备维修保养中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294372.htm,,,,,2026年09月09日 13:05,,,,,398.96
重庆市,重庆市两江新区五简路2号重庆咨询大厦B座503室,周建行 谢沛诘 023-67089269 67707022,重庆市政府采购中心,,"公开招标—国家税务总局重庆市税务局2026年税收大数据平台运维和数据加工服务（发布稿）8.7.doc,中小企业声明函_1.jpg","[{""attach_name"": ""公开招标—国家税务总局重庆市税务局2026年税收大数据平台运维和数据加工服务（发布稿）8.7.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=30F18C152D66E14311A484BC7ECFB5""}, {""attach_name"": ""中小企业声明函_1.jpg"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=32446ACB692FC9F6CD3B7BB9EE8D58""}]",,,重庆市渝北区西湖路9号,刘老师 熊老师 023-67572283 67572128,国家税务总局重庆市税务局,,,,2026-09-09 15:21:48,徐烽  邓燕  彭亮  杨远峰  许涛(采购人代表）,国家税务总局重庆市税务局2026年税收大数据平台运维和数据加工服务（26WC0173）中标(成交）结果公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294373.htm,,,,,2026年09月09日 13:04,,,,,398.5
北京市,北京市朝阳区和平街东土城路甲9号,胡成、祝贺，010-64489275，18513310406,中国远东国际招标有限公司,,"中小企业声明函.pdf,2026FE3465热力站值班及管线巡查招标文件（发布）.pdf","[{""attach_name"": ""中小企业声明函.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=1255D33A36EB8EEE8AE452D3B03CA8""}, {""attach_name"": ""2026FE3465热力站值班及管线巡查招标文件（发布）.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=A08624ED2DD646495776E6D41D96E6""}]",,,北京市东城区景山前街 4 号,张璐，010-85007056,故宫博物院,,,,2026-09-09 15:21:48,宋庆东、周效华、张占国、杨丽莉、王安华。,故宫博物院2026-2029年度热力站值班服务及管线巡查项目中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294368.htm,,,,,2026年09月09日 13:03,,,,,199.742596
湖南省,长沙市雨花区韶山中路419号顺天国际金融中心北塔H4楼1434-1435室,王威格,湖南博思智询项目管理有限公司,,"开标一览表.pdf,招标文件.doc,中标通知书.pdf,中小企业声明函.docx","[{""attach_name"": ""开标一览表.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=C08A2CFCE1675BAE0411D064CF8A72""}, {""attach_name"": ""招标文件.doc"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=DD1D60D9A5CB741B9E4AD002CAC395""}, {""attach_name"": ""中标通知书.pdf"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=72191DBD608EA4405141F40ECC0718""}, {""attach_name"": ""中小企业声明函.docx"", ""attach_url"": ""https://download.ccgp.gov.cn/oss/download?uuid=BEF37DCF6F898418705BB4582D6B20""}]",,,长沙市芙蓉南路4段196号,曾女士 13875957859,湖南省气象台,,,,2026-09-09 15:21:48,曹卫凯（组长）、隋品波、刘洋、蔡璐、周瑛,湖南省气象台极端灾害性天气短临预警能力提升工程(长株潭城市群500米分辨率短临数值预报分系统)中标公告,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294344.htm,,,,,2026年09月09日 12:55,,,,,82.0
长沙市,长沙市雨花区湘府东路199号招标大厦,林丹、丁政勋、张妍 0731-84553843,湖南省招标有限责任公司,,,,,,长沙市岳麓区麓山南路932号,肖老师 0731-88836792,中南大学,,,,2026-09-09 15:21:48,黄敏、陈娴、尚立军、张畅、程光旭,中南大学新校区学生宿舍一期、二期项目智能化工程中标候选人公示,中标公告,https://www.ccgp.gov.cn/cggg/zygg/zbgg/./202609/t20260909_27294340.htm,,,,,2026年09月09日 12:54,,,,,597.923956
